community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Willowbrook,"Willowbrook residents have relatively high disposable incomes with a median household income above Houston's average, as it is predominantly a middle to upper-middle-class suburban area.","The area has significant discretionary spending capacity with numerous retail centers and shopping destinations, including Willowbrook Mall, suggesting residents can absorb moderate transportation cost increases.","The area is heavily car-dependent with limited public transit options, primarily served by park-and-ride facilities and bus routes, with most residents relying on personal vehicles for daily commutes.","1) Given the high car dependency and income levels, policies with moderate driving fees are acceptable if they improve transit service 2) Lower sales tax rates are preferred since residents make significant retail purchases 3) Transit fares are less critical since current transit usage is low 4) Prioritized policies that balance driving costs with improved transit times 5) Selected options that maintain reasonable car travel times while funding transit improvements through moderate fees and taxes","[3, 10, 2, 19, 4]",3,10,2,19,4
Greater Greenspoint,"Greater Greenspoint has a relatively low median household income of around $33,000, with approximately 30% of residents living below the poverty line, indicating limited disposable income for transportation costs.","Given the low income levels, residents have minimal discretionary spending capacity and are particularly sensitive to additional taxes, fees, and transit fares.","The area has moderate transit coverage with bus services but many residents rely on personal vehicles, with about 75% of households having access to a car, though many struggle with transportation costs.",1) Prioritized proposals with lower transit fares ($0.75) to help transit-dependent residents 2) Favored lower sales tax rates (0.5-1.0%) to minimize impact on limited discretionary income 3) Considered moderate driving fees ($0.50) to improve transit service without overly burdening car-dependent households 4) Balanced travel time improvements with cost impacts 5) Selected proposals that provide the best accessibility improvements while minimizing financial burden on low-income residents,"[0, 7, 2, 6, 10]",0,7,2,6,10
Carverdale,"Carverdale has a relatively low median household income around $35,000, with many residents working in industrial and service sectors, indicating limited disposable income.","Given the low income levels, residents have minimal discretionary spending capacity and are particularly sensitive to additional taxes and transportation costs.","The neighborhood has limited public transit access with infrequent bus service, high car dependency for work commutes to industrial areas, and relatively long travel times to major employment centers.",1. Prioritized policies with lower sales tax (0.5%) due to limited disposable income. 2. Favored lower transit fares ($0.75) to make public transit more accessible. 3. Considered moderate driving fees ($0.50) to improve transit service without overly burdening car-dependent workers. 4. Balanced travel time improvements with cost impacts on household budgets. 5. Selected proposals that provide the best combination of reduced travel times while minimizing financial burden on low-income residents.,"[0, 2, 7, 10, 16]",0,2,7,10,16
Fairbanks / Northwest Crossing,"The neighborhood has a median household income of around $45,000, which is below Houston's median, indicating residents are price-sensitive to transportation costs.","With modest income levels and higher cost of living concerns, residents have limited discretionary spending capacity and are sensitive to both sales tax increases and transportation fees.","The area has limited public transit access with longer transit times, and most residents rely heavily on personal vehicles for commuting and daily activities.","1. Prioritized policies with lower sales tax (0.5%) to minimize impact on overall purchasing power. 2. Favored moderate driving fees ($0.50) over high fees ($1.00) to balance revenue generation with affordability. 3. Selected lower transit fares ($0.75-$1.25) to encourage transit use while maintaining accessibility. 4. Considered travel time improvements, particularly for driving, as most residents are car-dependent. 5. Balanced the need for transit system improvements with the community's limited ability to absorb higher costs.","[0, 2, 7, 10, 4]",0,2,7,10,4
Greater Inwood,"Greater Inwood has a median household income of around $45,000, which is below Houston's median, indicating residents are price-sensitive to transportation costs.","With modest income levels and higher poverty rates than city average, residents have limited discretionary spending capacity and are sensitive to both sales tax increases and transportation fees.","The area has moderate transit access with some bus routes but is largely car-dependent, with about 80% of residents commuting by car and facing significant travel times to employment centers.",1) Prioritized proposals with lower transit fares ($0.75) to help transit-dependent residents while maintaining reasonable service levels. 2) Favored moderate sales tax (1.0%) over higher rates to balance transit funding with household budget impacts. 3) Selected proposals with moderate driving fees ($0.50) to encourage some transit use without overly burdening car-dependent residents. 4) Considered travel time improvements for both modes given the area's mixed transit-car usage. 5) Aimed to minimize overall cost burden on lower-income residents while maintaining adequate transit service.,"[7, 0, 16, 8, 1]",7,0,16,8,1
Acres Home,"Acres Home has a median household income of approximately $35,000, which is significantly lower than Houston's average, indicating limited disposable income for transportation costs.","With a high poverty rate around 28% and many households being cost-burdened by housing, residents have very limited discretionary spending capacity and are sensitive to additional taxes or fees.","The area has limited transit coverage with some bus routes but no rail service, while about 20% of households lack vehicle access, making both transit affordability and service quality critical issues.","1) Prioritized proposals with lower transit fares ($0.75) to maintain transit affordability for transit-dependent residents, 2) Favored lower sales tax rates (0.5-1.0%) to minimize impact on limited discretionary income, 3) Accepted moderate driving fees ($0.50) to improve transit service without overly burdening car-dependent households, 4) Sought balance between transit time improvements and cost burden on low-income residents, 5) Considered high car-dependency while acknowledging significant transit-dependent population","[7, 0, 16, 8, 1]",7,0,16,8,1
Hidden Valley,"Hidden Valley residents have moderate to low disposable income with a median household income around $45,000, indicating sensitivity to transportation costs and taxes.","The neighborhood has limited discretionary spending capacity, with most income going to essential needs like housing, food, and transportation.","The area has moderate transit access with bus routes but relies heavily on personal vehicles, with about 85% of residents commuting by car.","1. Given low disposable income, prioritized lower transit fares and taxes to preserve household budgets. 2. Moderate driving fees acceptable to improve transit service while not overly burdening car-dependent residents. 3. Balanced travel time improvements against cost increases. 4. Selected policies that provide meaningful transit improvements without excessive tax burden. 5. Considered the high car dependency while encouraging transit use through reasonable fare structures.","[7, 0, 2, 16, 10]",7,0,2,16,10
Westbranch,"Westbranch is a middle-income neighborhood with median household income around $45,000, indicating moderate sensitivity to transportation costs and taxes.","Residents have modest discretionary spending capacity, with typical household retail spending of about $20,000 annually, making them somewhat sensitive to sales tax changes.","The neighborhood has good road access but limited transit service, with about 70% of residents commuting by car and 20% by transit, suggesting a need to balance driving and transit improvements.",1) Prioritized proposals with moderate tax rates to avoid straining household budgets while funding transit improvements. 2) Favored balanced driver fees to encourage transit use without overly burdening car-dependent residents. 3) Selected proposals with lower transit fares to help transit-dependent residents. 4) Considered travel time improvements for both modes given mixed transportation needs. 5) Ranked proposals that offer the best combined benefits in terms of travel time savings and reasonable costs for both drivers and transit users.,"[7, 10, 16, 19, 2]",7,10,16,19,2
Addicks / Park Ten,"Addicks / Park Ten residents have relatively high disposable income with a median household income above $100,000, indicating greater ability to absorb transportation costs.",The area's affluent population has significant discretionary spending power and tends to prioritize convenience and time savings over minor cost differences.,"The area is heavily car-dependent with limited transit access, featuring major highways (I-10, Beltway 8) and primarily serving as an employment center with office parks and retail.","1) Given the car-dependent nature and high income levels, policies that reduce car travel times while moderately increasing costs are preferred. 2) Higher driver fees are acceptable as they'll reduce congestion and improve travel times. 3) Lower transit fares are less critical since transit usage is limited. 4) Moderate to higher tax rates can be absorbed by the affluent population while funding better services. 5) Prioritized policies that provide the best car travel time improvements while keeping tax burden reasonable.","[17, 20, 8, 11, 1]",17,20,8,11,1
Spring Branch West,"Spring Branch West has a median household income of around $55,000, placing it in the middle-income range for Houston, with approximately 15% of residents below poverty level.","Residents have moderate discretionary spending capacity but are price-sensitive to additional taxes and fees, with significant portions of income already going to housing and transportation costs.","The area is primarily car-dependent with limited transit options, featuring several major thoroughfares like I-10 and Beltway 8, while bus service is available but with longer travel times.","1) Prioritized policies with lower sales tax (0.5-1.0%) to protect discretionary spending power, 2) Favored moderate driving fees ($0.5) to improve transit without overly burdening car-dependent residents, 3) Selected proposals with lower transit fares ($0.75-$1.25) to make transit more accessible, 4) Balanced travel time improvements for both modes given the mixed-income population, 5) Considered the area's car-dependency while supporting gradual transit improvements.","[7, 0, 10, 2, 3]",7,0,10,2,3
Langwood,"Langwood is a middle-income neighborhood with median household income around $55,000, indicating moderate disposable income levels for transportation expenses.",Residents have moderate discretionary spending capacity but are price-sensitive to additional taxes and fees that could impact their household budgets.,"The neighborhood has good car accessibility with proximity to Highway 290 but limited transit options, with most residents relying on personal vehicles for commuting.","1) Given car-dependent nature, prioritize proposals with lower driving fees and moderate taxes to avoid excessive burden on drivers. 2) Consider moderate transit fares to maintain service quality while keeping costs reasonable for occasional transit users. 3) Balance tax rates around 1% to support transit infrastructure without overly impacting discretionary spending. 4) Select proposals that achieve modest travel time improvements without extreme cost increases. 5) Factor in that most residents will pay driving costs daily but transit fares only occasionally.","[6, 9, 18, 2, 10]",6,9,18,2,10
Central Northwest,"Central Northwest has a moderate median household income around $45,000, with about 25% of residents living below poverty level, indicating limited disposable income for many residents.","Given the income levels and cost of living, residents have modest discretionary spending capacity and are sensitive to additional transportation costs and taxes.","The area has decent bus service along major corridors but many residents rely on personal vehicles, with about 75% of commuters driving alone and 15% using transit.",1) Prioritized proposals with lower transit fares ($0.75) to help transit-dependent residents while maintaining service quality. 2) Favored moderate tax rates (1%) to balance revenue needs with household budget impacts. 3) Supported modest driving fees ($0.50) to encourage transit use without overly burdening drivers. 4) Considered travel time improvements for both modes given mixed transportation needs. 5) Selected proposals that provide best overall value while protecting lower-income residents.,"[7, 0, 16, 10, 19]",7,0,16,10,19
