community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Willowbrook,"Willowbrook residents have relatively high disposable income with a median household income above Houston's average, characterized by professional workers in healthcare and retail sectors.","The area has significant discretionary spending power, with residents regularly commuting to work and shopping at Willowbrook Mall and surrounding retail centers.","The area is primarily car-dependent with good highway access via SH-249 and FM 1960, limited bus service, and no rail transit, while being a major employment center with medical facilities and retail.","1) Given high car dependency and income levels, policies with moderate driving fees are acceptable if they improve transit
2) Higher sales tax is less impactful due to higher disposable income
3) Lower transit fares could encourage park-and-ride usage
4) Need to balance driving costs with improved transit times
5) Selected policies that maintain reasonable car access while funding transit improvements","[17, 8, 20, 1, 11]",17,8,20,1,11
Greater Greenspoint,"Greater Greenspoint has a relatively low median household income around $35,000, with many residents living below the poverty line and facing significant financial constraints.","Residents have limited discretionary spending capacity, with a high proportion of income going to essential needs like housing and transportation.","The area has moderate transit access with bus services but high car dependency, with about 75% of residents commuting by car and facing significant transportation costs relative to their income.",1) Prioritized lower transit fares ($0.75) to make public transit more affordable for low-income residents. 2) Favored lower sales tax rates (0.5-1.0%) to minimize impact on essential purchases. 3) Considered moderate driving fees ($0.50) to encourage transit use while not overly burdening car-dependent residents. 4) Balanced travel time improvements with cost impacts. 5) Selected proposals that provide the best combination of affordability and service improvements for this lower-income community.,"[7, 0, 6, 8, 10]",7,0,6,8,10
Carverdale,"Carverdale has a relatively low median household income around $35,000, with many residents working in industrial and service sectors, indicating limited disposable income.","Given the low income levels and high cost of basic necessities, residents have minimal discretionary spending capacity and are particularly sensitive to additional taxes and fees.","The area has limited public transit access with infrequent bus service, high car dependency for work commutes to industrial areas, and relatively long travel times to key destinations.",1) Prioritized proposals with lower sales tax (0.5%) to minimize impact on limited discretionary income 2) Favored lower transit fares ($0.75) to make public transit more affordable for transit-dependent residents 3) Accepted moderate driving fees ($0.50) as compromise to improve transit service while not overly burdening car-dependent workers 4) Sought balance between travel time improvements and cost burden 5) Ranked proposals that provide best transit time improvements while keeping combined costs manageable for low-income residents,"[0, 1, 2, 7, 8]",0,1,2,7,8
Fairbanks / Northwest Crossing,"The neighborhood has a median household income of around $45,000, which is below Houston's median, indicating residents are price-sensitive to transportation costs.","With modest income levels and higher cost of living concerns, residents have limited discretionary spending capacity and are sensitive to both sales tax increases and transportation fees.","The area is car-dependent with limited transit options, longer transit travel times, and most residents rely on personal vehicles for daily commuting and errands.","1) Prioritized policies with lower sales tax (0.5%) to minimize impact on overall purchasing power 2) Favored moderate driving fees ($0.50) over high fees ($1.00) given car dependency 3) Supported lower transit fares ($0.75-$1.25) to make transit more accessible 4) Balanced travel time improvements with cost impacts 5) Selected proposals 0, 2, 7, 10, and 4 in descending order based on optimal combination of lower taxes, moderate fees, and improved travel times for both modes","[0, 2, 7, 10, 4]",0,2,7,10,4
Greater Inwood,"Greater Inwood has a median household income of around $45,000, which is lower than Houston's average, indicating residents are more sensitive to transportation costs.","With modest income levels and higher poverty rates than city average, residents have limited discretionary spending capacity and are price-sensitive to both transit fares and sales taxes.","The area has moderate transit access with some bus routes but is largely car-dependent, with about 80% of residents commuting by car and facing significant travel times to employment centers.","1) Prioritized lower transit fares and moderate sales tax to help lower-income transit users while maintaining service quality. 2) Selected policies with moderate driving fees to reduce congestion while not overly burdening car-dependent residents. 3) Balanced travel time improvements with cost impacts, favoring proposals that reduce transit travel times below 56 minutes. 4) Considered that many residents make multiple trips per day, so per-trip costs significantly impact household budgets. 5) Chose proposals that provide meaningful transit improvements while keeping combined tax/fee burden manageable for working families.","[7, 8, 16, 17, 10]",7,8,16,17,10
Acres Home,"Acres Home has a median household income of approximately $35,000, which is significantly lower than Houston's average, indicating limited disposable income for transportation costs.","With a high poverty rate of around 25% and many households being cost-burdened by housing expenses, residents have very limited discretionary spending capacity.","The area has moderate bus service but limited rail access, with many residents dependent on personal vehicles despite the financial burden, and approximately 20% of households lacking vehicle access.",1) Prioritized policies with lower transit fares ($0.75) to support transit-dependent residents and encourage transit use. 2) Favored lower sales tax rates (0.5-1.0%) due to limited household incomes. 3) Supported moderate driving fees ($0.50) to improve transit service without overly burdening drivers. 4) Considered travel time improvements for both transit and driving modes. 5) Selected policies that balance accessibility improvements with minimal financial impact on low-income residents.,"[7, 0, 16, 8, 10]",7,0,16,8,10
Hidden Valley,"Hidden Valley residents have moderate to low disposable income with a median household income around $45,000, indicating sensitivity to transportation costs and taxes.","The neighborhood has limited discretionary spending capacity, with most income going to essential needs like housing, food, and transportation.","The area has moderate transit access with bus routes but relies heavily on personal vehicles, with about 85% of residents commuting by car.",1) Prioritized lower tax rates (0.5-1.0%) to preserve disposable income 2) Favored moderate transit fares ($0.75-$1.25) to keep transit affordable while maintaining service quality 3) Supported modest driving fees ($0.50) to reduce congestion without overly burdening car-dependent residents 4) Balanced travel time improvements with cost impacts 5) Selected proposals that offer best combined benefits for both transit and car users given the community's mixed transportation needs,"[7, 0, 10, 2, 6]",7,0,10,2,6
Westbranch,"Westbranch is a middle-income neighborhood with median household income around $45,000, indicating moderate sensitivity to transportation costs and taxes.","Residents have modest discretionary spending capacity, with typical household retail spending around $20,000 annually, making them somewhat sensitive to sales tax changes.","The neighborhood has moderate transit access with bus routes but relies heavily on personal vehicles, with about 85% of residents commuting by car.","1) Given moderate income levels, prioritized lower tax rates (0.5-1.0%) to preserve discretionary spending. 2) With high car dependency, favored proposals with moderate driving fees ($0.50) that improve transit without excessive burden on drivers. 3) Selected moderate transit fares ($1.25) that balance service quality with affordability. 4) Prioritized proposals showing significant travel time improvements for both modes. 5) Ranked proposals that maintain reasonable cost ratios between driving and transit to enable mode choice flexibility.","[10, 7, 2, 19, 13]",10,7,2,19,13
Addicks / Park Ten,"Addicks / Park Ten residents have relatively high disposable income with a median household income above $100,000, indicating greater ability to absorb transportation costs.",The area's affluent population has significant discretionary spending power and tends to prioritize convenience and time savings over minor cost differences.,"The area is heavily car-dependent with limited transit options, long commute distances to major employment centers, and most residents rely on personal vehicles for transportation.","1) Given high car dependency and income levels, policies that reduce car travel time are priority. 2) Higher driver fees are acceptable if they significantly improve travel times. 3) Lower transit fares less critical since transit usage is low. 4) Moderate sales tax preferred to support system improvements while preserving discretionary spending. 5) Selected policies balance travel time improvements with reasonable cost increases given the area's demographics.","[8, 11, 17, 1, 3]",8,11,17,1,3
Spring Branch West,"Spring Branch West has a median household income of around $55,000, placing it in the middle-income range for Houston, with approximately 15% of residents below poverty level.","Residents have moderate discretionary spending capacity, with most households spending on essential needs first and having some flexibility for additional expenses like transportation costs.","The area is primarily car-dependent with limited transit options, featuring some bus routes but no direct rail access, and most residents (about 85%) rely on personal vehicles for commuting.","1) Given the car-dependent nature and middle-income status, policies with lower sales tax burden are preferred to protect discretionary spending. 2) Since most residents drive, moderate driving fees are acceptable if they improve overall traffic flow. 3) Lower transit fares are prioritized to encourage transit use as an alternative option. 4) Proposals that balance reduced travel times for both modes while maintaining reasonable costs are favored. 5) Selected policies that don't overly burden either drivers or transit users while providing service improvements.","[2, 0, 7, 10, 3]",2,0,7,10,3
