community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Rogers Park,"Rogers Park has a median household income of around $47,000, lower than Chicago's median. About 27% of residents live below poverty level. Many residents are cost-sensitive and need to carefully manage transportation expenses.","Given the income levels, residents have limited discretionary spending. Many are students or working-class families who need to balance basic needs with transportation costs. Higher sales taxes would notably impact household budgets.",High transit dependency with good access to CTA Red Line and multiple bus routes. About 35% of households don't own cars. Many residents commute to work/school using public transit. Walking and biking are common for local trips.,"1. Prioritize low transit fares due to high transit dependency and lower incomes. 2. Moderate sales tax to maintain transit service without overly burdening limited discretionary spending. 3. Support some driving fees to improve transit service and reduce congestion, but not highest level due to impact on working families who need cars. 4. Balance between transit time improvements and cost burden. 5. Consider student population's need for affordable transit access.","[10, 11, 9, 1, 2]",10,11,9,1,2
West Ridge,"West Ridge has a median household income of around $54,000, slightly below Chicago's median. About 18% of residents live below poverty level. The community has a significant immigrant population with varying income levels","Moderate discretionary spending capacity. Many households need to be cost-conscious. The community has many small businesses and shopping areas that residents frequent, making sales tax impact notable","Good bus service along major arterials (Devon, Western). Moderate access to Red Line at Loyola. About 30% of residents use public transit for commuting. High car ownership rates but also significant transit dependency. Many residents make local trips within the neighborhood",1. Prioritize lower transit fares ($0.75) to help transit-dependent residents and encourage transit use. 2. Moderate tax rate (1%) balances revenue needs with household budgets. 3. Support some driving fees ($0.50-$1.00) to improve transit service while not overly burdening drivers. 4. Focus on options that reduce transit travel times to under 55 minutes. 5. Consider mixed-mode households that use both transit and cars,"[11, 10, 20, 19, 2]",11,10,20,19,2
Uptown,"Uptown has a mixed-income population with median household income around $53,000. About 23% of residents live below poverty level. Many residents are cost-sensitive and rely on public transportation.","Given the significant low-income population, many residents have limited discretionary spending. Higher sales taxes would impact household budgets. Average annual retail spending is moderate compared to city average.","Uptown has excellent transit access with Red Line L, multiple bus routes, and Metra. 41% of residents use public transit for commuting. 30% of households don't own cars. Walking/biking infrastructure is well-developed.",1. Prioritize low transit fares due to high transit dependency and lower incomes. 2. Moderate sales tax to balance revenue needs with cost burden. 3. Support driving fees to improve transit service and reduce congestion. 4. Focus on proposals that reduce transit travel times. 5. Consider proposals that maintain reasonable driving costs for car-owning residents. Selected proposals balance accessibility improvements with affordability for diverse population.,"[11, 10, 20, 19, 2]",11,10,20,19,2
Lincoln Square,"Lincoln Square is a middle to upper-middle income area with median household income around $77,000. Residents have moderate disposable income but are price-sensitive to transportation costs.","The area has significant retail and entertainment spending, with many local businesses, restaurants, and shopping districts. Residents generally have good discretionary spending power but are value-conscious.","Well-served by CTA Brown Line, multiple bus routes, and major arterial roads. High transit usage (40%+ commuters), significant walking/biking, but also considerable car ownership. Good mix of transportation options.",1. Prioritize balanced policies that maintain good transit service while keeping costs moderate for both transit and driving users. 2. Favor lower sales tax (0.5-1.0%) due to high local retail spending. 3. Support moderate driving fees ($0.50) to reduce congestion but avoid excessive burden. 4. Prefer moderate transit fares ($1.25) to maintain service quality while keeping transit affordable. 5. Consider travel time improvements for both modes given mixed-mode usage in area.,"[13, 4, 10, 1, 22]",13,4,10,1,22
North Center,"North Center is an affluent area with median household income around $110,000, significantly above Chicago's average. Residents have relatively high disposable income and can generally afford higher transportation costs","Area has high discretionary spending power, with many residents spending on dining, entertainment, and retail. Higher sales tax would have moderate but manageable impact on consumption patterns","Well-served by Brown Line, multiple bus routes, and major arterial roads. 76% of residents commute by car or transit. Good mix of transportation options with relatively high car ownership but also strong transit usage","1. Prioritize policies that improve both transit and driving times given mixed-mode usage
2. Community can absorb moderate cost increases for better service
3. Higher tax/fee combinations acceptable if they significantly improve travel times
4. Focus on balanced proposals that don't overly burden either mode
5. Selected proposals 23, 14, 26, 20, 11 as they offer best overall time savings with acceptable cost increases for this affluent area","[23, 14, 26, 20, 11]",23,14,26,20,11
Lake View,"Lake View is an affluent area with median household income around $90,000. Residents have relatively high disposable income and can generally afford higher transportation costs. Many residents work in professional services and have stable incomes.","The area has high discretionary spending power, with numerous restaurants, entertainment venues, and retail shops. Residents frequently engage in recreational activities and dining out. Higher sales taxes would have a moderate but not severe impact on consumption patterns.","Lake View has excellent transit access with multiple L lines (Red, Brown, Purple) and numerous bus routes. High walkability score and bike-friendly infrastructure. Many residents commute to downtown. Car ownership is lower than city average due to good transit options and parking challenges.","1. Prioritize policies that improve transit service given high transit usage in area
2. Higher income means community can tolerate moderate fare/fee increases if service improves
3. Support driving fees to reduce congestion in dense neighborhood
4. Balance tax burden against service improvements
5. Selected proposals that reduce transit travel times while maintaining reasonable costs
6. Ranked proposals with moderate tax increases higher than those with highest tax rate","[14, 23, 11, 5, 13]",14,23,11,5,13
Lincoln Park,"Lincoln Park is one of Chicago's most affluent neighborhoods with median household income over $115,000. Residents have high disposable income and can generally afford higher transportation costs","High levels of discretionary spending on retail, dining, and entertainment. The community has significant retail corridors and residents tend to make frequent trips for shopping and leisure activities",Well-served by public transit with multiple L stations (Red/Brown/Purple lines) and bus routes. High car ownership rates but also high walkability and bikeability. Many residents commute downtown for work,"1. Given high incomes, can tolerate higher fees/taxes to fund better service. 2. Many residents use both transit and cars, so balanced approach needed. 3. Reducing congestion important given density and retail corridors. 4. Higher driver fees acceptable to encourage transit use. 5. Prefer moderate-to-high tax rates to fund transit improvements. 6. Selected proposals that reduce transit times while accepting higher costs. 7. Ranked proposals prioritizing overall mobility improvements over cost savings","[26, 23, 14, 20, 17]",26,23,14,20,17
Near North Side,"Near North Side has one of the highest median household incomes in Chicago (over $100,000). Residents have significant disposable income and can generally afford higher transportation costs","High levels of discretionary spending, with numerous luxury retail, dining, and entertainment venues. Residents typically spend more on goods/services, so sales tax impact is notable but manageable","Excellent transit access with multiple L lines, bus routes, and walkable streets. High car ownership but also heavy transit usage. Major employment/entertainment center with significant traffic congestion","1. Given high incomes, can tolerate higher fees/taxes to improve service. 2. Heavy congestion means driving time improvements are valuable. 3. Mixed transit/driving usage means balanced approach needed. 4. Dense urban area benefits from transit improvements. 5. Higher driver fees acceptable to reduce congestion. Prefer options with moderate-high driver fees, moderate transit fares, and moderate taxes that significantly improve both transit and driving times","[14, 23, 5, 17, 8]",14,23,5,17,8
Edison Park,"Edison Park is an affluent community with median household income around $87,000, significantly higher than Chicago's average. Most residents are middle to upper-middle class with good disposable income","Residents have substantial discretionary spending power, with higher than average retail spending. The community can generally absorb moderate increases in transportation costs without severe impact on quality of life","Located on far northwest side, heavily car-dependent area with longer commute times to downtown. Has Metra access but limited CTA coverage. Over 90% of households own cars, with many being two-car households. Most residents drive for daily activities","1. Given high car ownership and dependency, policies that improve driving times are important but community can afford some driving fees. 2. Higher income means sales tax impact is manageable. 3. Transit improvements still valuable as secondary option. 4. Selected policies balance driving efficiency with sustainable funding for transit. 5. Ranked proposals that maintain reasonable driving costs while improving both car and transit times. 6. Prioritized options with moderate rather than highest fees given car-dependency","[14, 5, 23, 13, 4]",14,5,23,13,4
Norwood Park,"Norwood Park is an upper-middle-class area with median household income around $82,000. Residents have relatively high disposable income and can generally afford higher transportation costs",Residents have significant discretionary spending power. The community has high rates of car ownership and many households can absorb moderate increases in transportation costs without severe impact on other consumption,"The area is served by the CTA Blue Line and Metra, but is relatively car-dependent. Most residents rely on personal vehicles, with good access to highways. Transit access is moderate with longer walking distances to stations","1. Given high car ownership and reliance, policies with moderate driving fees are acceptable if they improve traffic flow
2. Higher sales tax is acceptable given income levels if it improves overall transportation
3. Moderate transit fares preferred to maintain service quality while keeping transit competitive
4. Prioritized policies that reduce car travel times given car-dependency
5. Balanced approach considering both transit and driving improvements","[14, 23, 5, 13, 4]",14,23,5,13,4
