community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Willowbrook,"Willowbrook residents have relatively high disposable income with a median household income above Houston's average, characterized by middle to upper-middle class professionals working in healthcare and technology sectors.","The area shows strong discretionary spending patterns with numerous retail centers, restaurants, and entertainment venues, indicating residents have significant disposable income for non-essential purchases.","The area is primarily car-dependent with good highway access via SH-249 and FM-1960, limited bus service, and the Willowbrook Transit Center providing park-and-ride options to downtown.","1) Given high car dependency and income levels, policies with moderate driving fees are acceptable if they improve transit 2) Lower sales tax preferred due to high retail activity in the area 3) Moderate transit fares are acceptable to support service improvements 4) Prioritize policies that reduce car travel times since most residents drive 5) Balance between maintaining car accessibility while gradually improving transit options for workforce mobility","[3, 2, 10, 7, 19]",3,2,10,7,19
Greater Greenspoint,"Greater Greenspoint has a relatively low median household income of around $33,000, significantly below Houston's average, indicating limited disposable income for transportation costs.","With about 30% of residents living below poverty level and high housing cost burden, discretionary spending is very limited and residents are highly sensitive to additional taxes and fees.","The area has moderate transit service with multiple bus routes but many residents rely on personal vehicles due to dispersed employment locations, with about 75% of residents commuting by car.","1) Prioritized proposals with lower transit fares ($0.75) to help low-income transit users 2) Favored lower sales tax rates (0.5-1.0%) to minimize impact on limited discretionary income 3) Accepted moderate driving fees ($0.50) as compromise to fund transit while not overly burdening car-dependent workers 4) Sought balance between improved transit times and affordability 5) Considered that many residents make multiple trips per day, making per-trip costs particularly impactful","[0, 7, 2, 10, 6]",0,7,2,10,6
Carverdale,"Carverdale has a relatively low median household income around $35,000, with many residents working in industrial and service sectors.","Limited discretionary spending capacity with most income allocated to essential needs like housing, food, and transportation.","Limited transit service despite being near industrial areas, with most residents relying on personal vehicles for commuting and accessing services.",1. Prioritize lower tax rates (0.5-1.0%) due to limited household incomes. 2. Favor moderate transit fares ($0.75-$1.25) to keep transit affordable while maintaining service quality. 3. Accept moderate driving fees ($0.50) as compromise between maintaining car accessibility and funding transit improvements. 4. Balance between travel time improvements and cost impacts on household budgets. 5. Consider proposals that provide best combined car-transit accessibility given high car dependency but need for transit options.,"[0, 7, 2, 10, 3]",0,7,2,10,3
Fairbanks / Northwest Crossing,"The median household income in Fairbanks/Northwest Crossing is relatively modest at around $45,000, with many working-class families having limited disposable income after essential expenses.","Residents have moderate discretionary spending capacity, with many households being price-sensitive to additional taxes and transportation costs.","The area has limited public transit access with residents heavily dependent on personal vehicles, though some bus routes connect to major employment centers.","1. Given the car-dependent nature and modest income levels, policies with lower sales tax (0.5%) are preferred to preserve discretionary income. 2. Lower transit fares ($0.75) would encourage transit use while being affordable. 3. A moderate driving fee ($0.50) balances revenue needs with affordability. 4. Policies that significantly reduce transit travel times are valued given current long transit times. 5. Selected policies achieve 15-20% transit time improvements while keeping costs manageable for car-dependent residents.","[0, 2, 7, 10, 16]",0,2,7,10,16
Greater Inwood,"Greater Inwood has a median household income of approximately $45,000, which is lower than Houston's average, indicating residents are more sensitive to transportation costs.","With modest income levels and higher poverty rates than city average, residents have limited discretionary spending capacity and are price-sensitive to both sales tax and transit fares.","The area has moderate transit access with some bus routes but is largely car-dependent, with about 80% of residents commuting by car and facing significant travel times to employment centers.","1) Prioritized lower tax rates (0.5-1.0%) to minimize impact on limited discretionary income, 2) Favored moderate driving fees ($0.50) to improve transit without excessive burden on car-dependent residents, 3) Selected lower transit fares ($0.75-$1.25) to keep transit affordable, 4) Balanced travel time improvements with cost impacts, 5) Considered the high car dependency while maintaining transit affordability for non-car owners.","[7, 0, 10, 2, 16]",7,0,10,2,16
Acres Home,"Acres Home has a median household income of approximately $33,000, which is significantly lower than Houston's median, indicating limited disposable income for many residents.","With a high poverty rate around 28% and many households being cost-burdened by housing expenses, residents have very limited discretionary spending capacity and are sensitive to additional taxes and fees.","The area has limited transit service despite relatively high transit dependency, with many residents relying on buses for essential trips, while car ownership rates are lower than the city average.","1) Given the low income levels, prioritized proposals with lower transit fares and sales tax burden to maintain affordability. 2) Selected options that improve transit service times significantly to benefit transit-dependent residents. 3) Supported moderate driving fees to fund transit improvements while not overly burdening car-owning households. 4) Balanced the need for transit system funding with residents' limited ability to pay additional taxes. 5) Favored proposals that reduce transit travel times below 55 minutes to improve job accessibility.","[6, 0, 7, 15, 16]",6,0,7,15,16
Hidden Valley,"Hidden Valley residents have moderate to low disposable income with a median household income around $45,000, indicating sensitivity to transportation costs.","The neighborhood has limited discretionary spending capacity, with most income going to essential needs like housing, food, and transportation.","The area has moderate transit access with bus routes but relies heavily on personal vehicles, with about 85% of residents commuting by car.","1. Given low disposable income, prioritize lower tax rates (0.5-1.0%) to preserve purchasing power. 2. With high car dependency, avoid highest driving fees to prevent excessive burden. 3. Balance transit improvements with cost impact - moderate fares ($1.25) acceptable if they improve service. 4. Consider proposals that reduce car travel time since most residents drive. 5. Selected proposals 7, 10, 2, 0, 3 as they offer good balance of improved transit service and driving times while keeping costs manageable for residents.","[7, 10, 2, 0, 3]",7,10,2,0,3
Westbranch,"Westbranch is a middle-income neighborhood with median household income around $45,000, indicating moderate sensitivity to transportation costs and taxes.","Residents have modest discretionary spending capacity, with typical household retail spending around $20,000 annually, making them somewhat sensitive to sales tax increases.","The neighborhood has good road access but limited transit service, with about 70% of residents commuting by car and 20% by transit, suggesting policies should balance both modes.","1) Prioritized proposals with moderate tax rates to maintain services without excessive burden on discretionary spending. 2) Favored lower transit fares ($0.75-$1.25) to support transit-dependent residents while keeping transit affordable. 3) Supported moderate driving fees ($0.50) to fund transit improvements without severely impacting majority car commuters. 4) Selected proposals that achieve meaningful travel time reductions for both modes. 5) Balanced revenue generation between sales tax, fares, and driving fees to distribute costs fairly across transportation modes.","[7, 16, 10, 2, 19]",7,16,10,2,19
Addicks / Park Ten,"Addicks / Park Ten residents have relatively high disposable income with a median household income above $100,000, indicating greater ability to absorb transportation costs.",The area's affluent population has significant discretionary spending capacity and tends to prioritize convenience and time savings over cost savings.,"The area is heavily car-dependent with limited transit access, featuring major employment centers and retail along I-10 corridor where most residents rely on personal vehicles.","1) Given high car dependency and income levels, policies with moderate-to-high driving fees are acceptable if they reduce congestion and travel times 2) Higher sales tax is tolerable given discretionary spending capacity if it improves overall transportation system 3) Transit fare levels are less critical since transit usage is low 4) Prioritized policies that significantly reduce car travel times while keeping total costs reasonable 5) Selected proposals that balance revenue generation for system improvements with maintaining reasonable user costs","[23, 20, 17, 14, 11]",23,20,17,14,11
Spring Branch West,"Spring Branch West has a median household income of around $55,000, placing it in the middle-income range for Houston, with approximately 15% of residents below poverty level.","Residents have moderate discretionary spending capacity, with most households spending significant portions on housing, transportation, and basic necessities, leaving limited flexibility for additional taxes or fees.","The area is primarily car-dependent with limited public transit options, featuring some bus routes but no direct rail access, and about 85% of residents commute by car.","1) Given the car-dependent nature and middle-income status, prioritized proposals with lower sales tax to preserve discretionary income. 2) Selected moderate driving fees to encourage transit use without overly burdening car-dependent residents. 3) Favored lower transit fares to make public transit more attractive for those who could switch. 4) Balanced travel time improvements against cost increases. 5) Considered that most residents currently drive but might switch to transit if service improves and costs remain reasonable.","[0, 7, 2, 10, 16]",0,7,2,10,16
