community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Rogers Park,"Rogers Park has a median household income of around $47,000, lower than Chicago's median. About 27% of residents live below poverty level. Many residents are cost-sensitive and need to carefully manage transportation expenses.","Given the income levels, residents have limited discretionary spending. Many are students or working-class families who need to balance basic needs with transportation costs. Higher sales taxes would notably impact household budgets.",High transit dependency with good access to CTA Red Line and multiple bus routes. About 35% of households don't own cars. Many residents commute to work/school using public transit. Walking and biking are common for local trips.,"1. Prioritize low transit fares due to high transit dependency and lower incomes. 2. Moderate sales tax to maintain transit service without overly burdening limited discretionary spending. 3. Support some driving fees to improve transit service and reduce congestion, but avoid highest fees. 4. Balance between transit time improvements and cost burden. 5. Consider student population's price sensitivity and frequent transit use. Selected policies optimize transit affordability while maintaining service quality.","[10, 11, 9, 1, 2]",10,11,9,1,2
West Ridge,"West Ridge has a median household income of around $54,000, which is moderate for Chicago. About 19% of residents live below poverty level, indicating a significant portion of population is price-sensitive to transportation costs",The community has moderate discretionary spending power. Many residents are working-class and middle-class families who need to carefully balance transportation costs with other essential expenses. The area has a significant immigrant population who tend to be price-conscious consumers,"The area has moderate transit access with several bus routes and proximity to Red Line stations. About 30% of residents use public transit for commuting, while 60% drive. The community is relatively far from downtown, making travel times a crucial factor. Many residents need cars to access jobs and services",1. Prioritize balanced policies that don't overly burden either drivers or transit users given the mixed-mode usage. 2. Consider moderate fare/fee combinations due to price sensitivity of significant portion of population. 3. Focus on travel time improvements while keeping costs reasonable. 4. Avoid highest tax rates due to impact on discretionary spending. 5. Selected policies that provide good transit service improvements without excessive costs to residents,"[13, 10, 4, 19, 22]",13,10,4,19,22
Uptown,"Uptown has mixed income levels with median household income around $53,000. About 20% of residents live below poverty line. Many residents are cost-sensitive when it comes to transportation expenses.",Significant portion of residents have limited discretionary spending. Higher sales taxes would impact local businesses and resident purchasing power. Many residents rely on careful budgeting of transportation costs.,"Well-served by CTA Red Line, multiple bus routes, and Lake Shore Drive. 45% of households don't own cars. High transit dependency. Dense, walkable neighborhood with many local amenities. Good mix of transit and driving options.",1. Prioritize lower transit fares due to high transit dependency and lower incomes. 2. Moderate sales tax to balance revenue needs with impact on discretionary spending. 3. Support driving fees to improve transit service while maintaining reasonable car access. 4. Focus on proposals that reduce transit travel times to benefit large transit-dependent population. 5. Consider balance of costs across modes given mixed-income population.,"[11, 10, 13, 14, 9]",11,10,13,14,9
Lincoln Square,"Lincoln Square is a middle to upper-middle income area with median household income around $77,000. Residents have moderate disposable income but are price-sensitive to transportation costs","Area has significant retail and entertainment spending, with many local businesses, restaurants and shops. Residents generally have good discretionary spending power but are value-conscious","Well-served by Brown Line CTA, multiple bus routes, and fairly walkable. Many residents use mix of transit and driving. Good bike infrastructure. Most households own 1-2 cars but don't exclusively rely on them",1. Prioritize balanced options that maintain good transit service while keeping costs moderate for both modes. 2. Favor proposals with moderate tax rates (0.5-1.0%) since area has significant retail spending. 3. Look for options that improve transit times without excessive fees. 4. Consider that many residents use both modes and need flexibility. 5. Selected proposal 13 first as it offers good balance of improved transit time with moderate costs. 6. Ranked 10 second for low transit fare but decent service improvements. 7. Chose 4 third as it maintains low tax with reasonable service levels. 8. Added 16 fourth as it provides good transit times with moderate tax. 9. Selected 22 fifth for overall balanced approach,"[13, 10, 4, 16, 22]",13,10,4,16,22
North Center,"North Center is an affluent area with median household income around $110,000, significantly above Chicago's average. Residents have relatively high disposable income and can generally afford higher transportation costs","Area has high discretionary spending power, with many residents spending on dining, entertainment, and retail. Higher sales tax would have moderate impact but not severely constrain spending habits","Well-served by Brown Line, multiple bus routes, and major arterial roads. 76% of residents commute by car or transit. Good mix of transportation options with relatively high car ownership but also strong transit usage","1. Given high income levels, prioritize time savings over cost sensitivity
2. Support policies that improve both driving and transit times since area uses both modes heavily
3. Can absorb higher fees/taxes to fund better service
4. Favor balanced approaches that improve transit while maintaining driving efficiency
5. Higher driver fees acceptable to reduce congestion given income levels","[23, 14, 26, 20, 11]",23,14,26,20,11
Lake View,"Lake View is an affluent area with median household income around $90,000. Residents have relatively high disposable income and can generally afford higher transportation costs. Many residents work in professional services and have stable incomes.","The area has high discretionary spending power, with numerous restaurants, entertainment venues, and retail shops. Residents frequently engage in recreational activities and dining out. Higher sales taxes would have a moderate but not severe impact on consumption patterns.","Lake View has excellent transit access with multiple L lines (Red, Brown, Purple) and numerous bus routes. High walkability score and bike-friendly infrastructure. Many residents commute to downtown. Car ownership is lower than city average, with many households being car-free by choice.","1. Prioritize policies that improve transit service given high transit usage in area
2. Higher income means community can tolerate higher fees/taxes for better service
3. Focus on reducing transit travel times since many residents are transit-dependent
4. Support policies with higher driving fees to reduce congestion
5. Balance between service improvements and maintaining reasonable transit fares
6. Selected proposals 26, 23, 14, 20, and 8 as they offer best transit times while using mix of funding sources","[26, 23, 14, 20, 8]",26,23,14,20,8
Lincoln Park,"Lincoln Park is one of Chicago's most affluent neighborhoods with median household income over $115,000. Residents have high disposable income and can generally afford higher transportation costs","High levels of discretionary spending on retail, dining, and entertainment. The community has significant retail corridors and residents tend to make frequent trips for shopping and leisure activities","Well-served by public transit with multiple L stations (Red/Brown/Purple lines) and bus routes. High car ownership rates but also high transit usage. Dense, walkable neighborhood with many destinations accessible by multiple modes","1. Given high incomes, can tolerate higher fees/taxes to fund better service. 2. Many residents use both cars and transit, so balanced improvements to both modes are valuable. 3. Higher driver fees acceptable as they reduce congestion in dense area. 4. Prefer options that significantly improve transit times without excessive fare increases. 5. Selected proposals that balance travel time improvements with moderate cost increases across modes. 6. Ranked proposals prioritizing overall system efficiency over lowest costs","[23, 14, 20, 11, 5]",23,14,20,11,5
Near North Side,"Near North Side has one of the highest median household incomes in Chicago (over $100,000). Residents have significant disposable income and can generally afford higher transportation costs","High levels of discretionary spending, with numerous luxury retail, dining, and entertainment venues. Residents typically spend more on goods/services, meaning sales tax impact is proportionally larger","Excellent transit access with multiple L lines, bus routes, and walkable streets. High car ownership but also high transit usage due to density and proximity to downtown. Heavy traffic congestion during peak hours","1. Given high incomes, can tolerate higher fees/taxes to improve service. 2. Dense urban area benefits from reduced congestion. 3. Mixed transit/driving population needs balanced improvements. 4. Higher driver fees acceptable to reduce congestion. 5. Prefer policies that significantly improve transit times. Selected policies balance revenue generation with service improvements, focusing on reduced congestion and better transit performance while accepting higher costs given the area's affluence","[26, 23, 14, 20, 8]",26,23,14,20,8
Edison Park,"Edison Park is an affluent community with median household income around $87,000, significantly higher than Chicago's average. Most residents have substantial disposable income and can afford higher transportation costs","High levels of discretionary spending capacity. Residents generally own homes and cars, with retail spending patterns suggesting comfort with higher consumption taxes. The 1-1.5% sales tax increase would be manageable for most households","Located on far northwest side, relatively car-dependent area with longer commute times to downtown. Has Metra station and some bus service but transit coverage is limited compared to more central areas. About 85% of residents drive to work, while only 15% use public transit","1. Given high car dependency and income levels, policies that improve driving times without excessive fees are preferred
2. Moderate transit improvements needed but not primary concern given usage patterns
3. Can tolerate higher sales tax given income levels if it improves overall transportation
4. Prefer balanced approach between driving fees and transit fares
5. Selected policies that reduce car travel times to 17-19 minutes while keeping driving fees moderate
6. Ranked proposals with 1% tax rate higher as 1.5% seems excessive for benefits gained
7. Focused on proposals that maintain reasonable transit times for the minority who depend on it","[13, 14, 4, 5, 22]",13,14,4,5,22
Norwood Park,"Norwood Park is an upper-middle-class area with median household income around $82,000. Residents have relatively high disposable income and car ownership rates. Many households can afford multiple vehicles.",Residents have significant discretionary spending capacity. The area has high rates of homeownership and retail spending. A sales tax increase would have moderate but manageable impact on household budgets.,"The area is served by the CTA Blue Line and Metra, but is relatively car-dependent. Many residents commute downtown by transit but use cars for local trips. The area has good road infrastructure and ample parking.","1. Prioritize policies that balance driving convenience with moderate improvements to transit, given high car usage but also transit commuting needs. 2. Can tolerate moderate driving fees to fund transit improvements since income levels are high. 3. Prefer lower sales tax rates since residents make significant retail purchases. 4. Support moderate transit fares that maintain service quality without excessive costs. 5. Selected policies that reduce both driving and transit travel times without extreme cost increases.","[13, 4, 14, 5, 16]",13,4,14,5,16
