community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Rogers Park,"Rogers Park has a median income of $57,591, with 44.8% of households earning less than $50,000 annually. This suggests many residents have limited disposable income and would be sensitive to increased transportation costs.","Given the income distribution and cost of living in Chicago, many Rogers Park residents likely have modest discretionary spending capacity. Higher sales taxes would notably impact their purchasing power.","The community has high transit usage (28.1%) and low car ownership (37.2% have no vehicle). The area is served by CTA Red Line and multiple bus routes, making transit accessibility crucial for residents.",1. Prioritized lower transit fares ($0.75) given high transit dependency and lower incomes. 2. Favored moderate driving fees ($0.50-$1.00) to improve transit service without excessive burden. 3. Selected lower sales tax rates (0.5-1.0%) to protect discretionary spending. 4. Balanced travel time improvements with cost impacts. 5. Considered that 39.3% drive alone and need reasonable driving costs.,"[1, 2, 10, 11, 4]",1,2,10,11,4
West Ridge,"Mixed income levels with median household income of $68,091. 37.4% households earn less than $50,000, while 32.5% earn over $100,000. Per capita income is $32,132, suggesting moderate disposable income overall.","Given the income distribution and household sizes (average 2.9 people), many families likely have limited discretionary spending. Higher taxes and fees would impact the 37.4% lower-income households more significantly.","59.2% drive alone and 10% carpool, while 12.5% use transit. 13.3% have no vehicle, making transit essential. Good mix of transportation needs with 86.6% having at least one vehicle but significant transit dependency.","1. Prioritize lower sales tax (0.5%) to protect discretionary spending for mixed-income population. 2. Moderate transit fares ($1.25) to maintain service while keeping transit affordable for 13.3% car-less households. 3. Include some driving fees to improve transit service and reduce congestion, but not highest fees given high car dependency. 4. Balance travel times for both modes since community uses both significantly. 5. Consider proposals that reduce transit travel time from current 58.8 minutes.","[4, 13, 5, 14, 22]",4,13,5,14,22
Uptown,"Mixed income levels with 38.6% earning under $50k and 31% earning over $100k. Median income of $66,871 suggests moderate disposable income, but significant income disparity exists","Given the high percentage of lower-income households (23.2% under $25k) and high cost of living in Chicago, many residents have limited discretionary spending capacity. Higher sales taxes would particularly impact these households","Strong transit orientation with 34.9% using transit for work commute. 42.1% of households have no vehicle, indicating high transit dependency. Good existing transit access with multiple L lines and bus routes",1. Prioritized lower sales tax (0.5%) to protect discretionary spending power of large lower-income population. 2. Favored moderate transit fares ($1.25) to balance transit agency funding with affordability. 3. Supported driving fees to improve transit service while managing congestion. 4. Focused on proposals that reduce transit travel times given high transit dependency. 5. Considered balance of car vs transit times given mixed-mode usage in community,"[4, 5, 1, 2, 7]",4,5,1,2,7
Lincoln Square,"Lincoln Square has a relatively high median income of $90,569, with 45.2% of households earning over $100,000. However, there's income diversity with 25.7% earning under $50,000, suggesting varying levels of disposable income across the community","With a per capita income of $57,351, residents have moderate to high discretionary spending power. The higher-income households can better absorb increased transportation costs, but 25.7% lower-income households would be more sensitive to cost increases","The community shows diverse transportation usage: 26% use transit, 39.1% drive alone, and 21.6% have no vehicle. Good mix of transit and driving accessibility, with 74.5% owning at least one car","1. Prioritized balanced policies that maintain transit affordability while improving service, given significant transit usage (26%). 2. Considered moderate tax increases acceptable given higher median income. 3. Supported modest driving fees to reduce congestion and fund transit, as most households can afford it. 4. Favored policies that reduce transit travel time to benefit the 21.6% car-less households. 5. Selected options that balance time savings with cost impacts across income levels","[13, 14, 22, 4, 11]",13,14,22,4,11
North Center,"North Center is an affluent area with median income of $148,585 and 67.4% of households earning over $100,000. This suggests residents have significant disposable income and can generally afford higher transportation costs","With high incomes, residents likely have substantial discretionary spending. A sales tax increase would impact this but may be more tolerable than in lower-income areas. Average household spending power suggests ability to absorb moderate fee increases","87.4% of households own at least one vehicle, with 37.6% having multiple vehicles. 20% use transit for commuting, while 38.6% drive alone. Good mix of transportation options suggests residents value both driving and transit accessibility","1. Given high incomes, prioritize time savings over cost savings. 2. Support policies that improve both transit and driving times since community uses both modes significantly. 3. Can tolerate higher sales tax given income levels if it improves service. 4. Moderate driving fees acceptable to reduce congestion. 5. Balance fare increases with service improvements to maintain transit ridership","[23, 14, 5, 20, 11]",23,14,5,20,11
Lake View,"Lake View is a relatively affluent area with median income of $100,625 and 50.2% of households making over $100,000. This suggests residents have higher disposable income and can better absorb transportation costs compared to other areas.","With high per capita income ($87,044), residents likely have significant discretionary spending. However, the high cost of living in Lake View means transportation costs still impact overall household budgets.","The area has excellent transit access with 36.9% using transit for commuting. 39.6% of households don't own vehicles, indicating strong transit dependency. The high density and mixed-use nature of Lake View makes both transit and driving viable options.",1. Prioritized policies that balance transit improvements with moderate costs given the mixed transit/driving community. 2. Considered that many residents can afford slightly higher costs if it means better service. 3. Selected policies that reduce transit travel times since over 1/3 use transit. 4. Accounted for the 27.6% who drive by avoiding excessive driving fees. 5. Chose options that maintain transit affordability for lower-income residents (21.3% make under $50k).,"[23, 14, 20, 11, 4]",23,14,20,11,4
Lincoln Park,"Lincoln Park is an affluent area with median household income of $134,277 and 61.3% of households earning over $100,000. This suggests residents have significant disposable income and can generally afford higher transportation costs","With high per capita income ($109,538), residents likely have substantial discretionary spending. While sensitive to costs, they may prioritize time savings and service quality over minimal fee increases","The area has high transit usage (33.4%) and low car dependency (32.3% no vehicle, 47.8% one vehicle). Good mix of transportation options with significant walk/bike share (9.3%). Many residents use multiple modes of transportation","1. Prioritized policies that improve transit times while maintaining reasonable fares, given high transit usage. 2. Considered that many residents can absorb moderate cost increases. 3. Favored balanced approaches with moderate taxes and fees that improve both transit and driving times. 4. Selected options that encourage transit use while not overly penalizing necessary car trips. 5. Weighted time savings more heavily than cost savings given high income levels","[23, 14, 20, 11, 5]",23,14,20,11,5
Near North Side,"Near North Side has high disposable income with median income of $121,562 and 58.8% households making over $100,000. This suggests residents can generally absorb higher transportation costs and taxes","High per capita income ($118,674) indicates substantial discretionary spending. Higher sales tax impact would be notable but manageable given the affluent population","Area has excellent transit access with 45.6% no-vehicle households. Mixed transportation usage (18.9% transit, 27.6% walk/bike, 20.9% drive alone) shows good multi-modal infrastructure. Many residents can choose between modes","1. Given high no-car ownership and multi-modal usage, prioritize policies that improve transit service
2. Community can afford higher taxes/fees to fund better transit
3. Large walking/biking population benefits from reduced car traffic
4. Higher driver fees acceptable as most residents either don't drive or can afford it
5. Prefer policies that significantly reduce transit times while maintaining reasonable fares","[26, 23, 20, 14, 11]",26,23,20,14,11
Edison Park,"Edison Park is a relatively affluent community with median income of $120,024 and 59.4% of households earning over $100,000. This suggests residents have significant disposable income and can absorb moderate transportation cost increases.","With high per capita income ($57,872), residents likely have substantial discretionary spending. A sales tax increase would affect this spending, but impact would be manageable given the income levels.","The community is heavily car-dependent with 93.5% of households owning at least one vehicle and 69.1% driving alone to work. Only 8.4% use transit, suggesting good road access but limited transit reliance.","1. Given high car ownership and usage, prioritize proposals with lower driving fees and moderate transit improvements. 2. Community can handle moderate tax increases given high incomes. 3. Focus on proposals that reduce driving time without excessive cost burden. 4. Balance between maintaining driving affordability while funding transit improvements. 5. Consider that most residents drive but should maintain transit options for the 8.4% transit users.","[3, 0, 9, 12, 15]",3,0,9,12,15
Norwood Park,"Norwood Park is relatively affluent with median household income of $107,122 and per capita income of $49,303. About 53.4% of households earn over $100,000 annually, suggesting significant disposable income","With higher incomes, residents have substantial discretionary spending power. The community can likely absorb moderate increases in transportation costs without severe impact on other consumption","71.1% drive alone to work, 7.3% use transit, and 92.3% of households own at least one vehicle. The area is car-dependent but has some transit access","1. Given high car dependency and income levels, policies with moderate driving fees are acceptable if they improve travel times. 2. Higher sales tax is tolerable given income levels if it improves service. 3. Moderate transit fares are acceptable since transit usage is lower. 4. Focus on reducing car travel times since most residents drive. 5. Selected policies that balance revenue generation for transit improvements while maintaining reasonable costs for drivers","[14, 23, 5, 13, 4]",14,23,5,13,4
