community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Rogers Park,"Rogers Park has a median income of $57,591, with 44.8% of households earning less than $50,000 annually. This suggests many residents have limited disposable income and would be sensitive to increased transportation costs.","Given the income distribution and cost of living in Chicago, many Rogers Park residents likely have modest discretionary spending capacity. Higher sales taxes would notably impact their purchasing power.","The community has high transit usage (28.1%) and low car ownership (37.2% have no vehicle). The area is served by CTA Red Line and multiple bus routes, making transit accessibility crucial for residents.",1. Prioritized lower transit fares ($0.75) given high transit dependency and lower incomes. 2. Favored moderate driving fees ($0.50-$1.00) to improve transit service without excessive burden. 3. Selected lower sales tax rates (0.5-1.0%) to protect discretionary spending. 4. Balanced travel time improvements with cost impacts. 5. Considered that 39.3% drive alone and need reasonable driving costs.,"[1, 2, 10, 11, 4]",1,2,10,11,4
West Ridge,"Mixed income levels with median household income of $68,091. 37.4% of households earn less than $50,000, while 32.5% earn over $100,000. Per capita income is $32,132, suggesting moderate disposable income overall.","Given the income distribution and average household size of 2.9, many families likely have limited discretionary spending. Higher sales taxes would impact the 37.4% lower-income households more significantly.","59.2% drive alone and 10% carpool, while 12.5% use transit. 13.3% have no vehicle, making transit essential. Good mix of transportation needs with 86.6% having at least one vehicle but significant transit dependency.",1. Prioritize lower sales tax (0.5%) to protect discretionary spending power. 2. Balance transit fares around $1.25 to maintain service quality while keeping transit affordable for the 13.3% car-less households. 3. Moderate driving fees ($0.50) to improve transit times without overly burdening the majority who drive. 4. Consider proposals that reduce both transit and driving times to benefit all commuters. 5. Avoid highest tax/fee combinations that would strain mixed-income population.,"[4, 13, 1, 10, 22]",4,13,1,10,22
Uptown,"Mixed income levels with 38.6% earning under $50k and 31% earning over $100k. Median income of $66,871 suggests moderate disposable income, but significant income disparity exists","Given the high percentage of lower-income households (23.2% under $25k) and high cost of living in Chicago, many residents have limited discretionary spending capacity. Higher taxes and fees would significantly impact these households","Strong transit orientation with 34.9% using transit for work commute. 42.1% of households have no vehicle, indicating high transit dependency. Good existing transit access with multiple L lines and bus routes",1. Prioritized lower transit fares due to high transit dependency and large low-income population. 2. Moderate tax rates to maintain service quality while not overly burdening residents. 3. Supported some driving fees to improve transit service and reduce congestion. 4. Balanced travel time improvements with cost impacts. 5. Considered high percentage of no-car households needing affordable transit access,"[11, 10, 13, 19, 4]",11,10,13,19,4
Lincoln Square,"Lincoln Square has a relatively high median income of $90,569, with 45.2% of households earning over $100,000. However, there's income diversity with 25.7% earning under $50,000, suggesting varying levels of disposable income across the community","With a per capita income of $57,351, residents have moderate to high discretionary spending power. The higher-income households can better absorb increased transportation costs, but about quarter of households may be more sensitive to cost increases","The community shows diverse transportation usage: 39.1% drive alone, 26% use transit, and 21.6% have no vehicle. Good mix of transit and driving accessibility, with 74.5% of households having at least one car","1. Prioritized balanced policies that maintain transit affordability while improving service, given the significant transit-dependent population. 2. Considered moderate driving fees acceptable given high car ownership and income levels. 3. Preferred lower sales tax options due to impact on all residents. 4. Valued proposals that reduce transit travel time given high transit usage. 5. Selected options that balance cost impact with service improvements, considering the mixed-income population","[13, 4, 10, 1, 22]",13,4,10,1,22
North Center,"North Center is an affluent area with median income of $148,585 and 67.4% of households earning over $100,000. This suggests residents have significant disposable income and can generally afford higher transportation costs","With high incomes, residents likely have substantial discretionary spending. A sales tax increase would impact this but would be relatively manageable given the wealth level. Annual consumption is likely high, making sales tax a notable consideration","The area has good transportation options with 87.4% of households having at least one vehicle and 20% using transit for commuting. 29.2% work from home, reducing daily transportation needs. The area is well-served by both driving and transit infrastructure","1. Given high incomes, prioritize time savings over cost savings. 2. Consider balanced approach between transit and driving given mixed mode usage. 3. Higher sales tax is acceptable if it improves service quality. 4. Look for proposals that reduce both transit and driving times. 5. Moderate fare/fee increases are acceptable for service improvements. Selected proposals that optimize travel times while keeping costs reasonable, given the area's ability to absorb higher costs for better service","[23, 14, 26, 20, 11]",23,14,26,20,11
Lake View,"Lake View is a relatively affluent area with median income of $100,625 and 50.2% of households making over $100,000. This suggests residents have higher disposable income and can better absorb transportation costs compared to other areas.","With high per capita income ($87,044), residents likely have significant discretionary spending. The 1-1.5% sales tax impact would be notable given higher consumption levels, but not severely restrictive for most residents.","The area has excellent transit access with 36.9% using transit for commuting. 39.6% of households don't own vehicles, indicating strong transit dependency. However, 24.8% drive alone, suggesting need to balance both modes.","1. Given high transit usage and car-free households, prioritized proposals that improve transit times while keeping fares moderate. 2. Higher driving fees acceptable given affluence and lower car ownership. 3. Moderate sales tax preferred to balance revenue needs with consumption impact. 4. Proposals with best transit time improvements ranked higher. 5. Balanced approach considering both transit and driving improvements given mixed modal split.","[23, 14, 20, 11, 4]",23,14,20,11,4
Lincoln Park,"Lincoln Park is an affluent area with median household income of $134,277 and 61.3% of households earning over $100,000. This suggests residents have significant disposable income and can absorb moderate increases in transportation costs","With high per capita income ($109,538), residents likely have substantial discretionary spending. A sales tax increase would affect this but may be less impactful than in lower-income areas","The area has high transit usage (33.4%) and low car dependency (32.3% no vehicle, 47.8% one vehicle). Good mix of transportation options with significant walk/bike share (9.3%). Many residents work from home (24%)",1. Prioritized policies that improve transit times given high transit usage. 2. Moderate fare increases acceptable given high income levels. 3. Support for driving fees to reduce congestion and fund transit. 4. Balanced approach to sales tax given high discretionary spending. 5. Considered that many residents use multiple modes of transportation,"[23, 14, 26, 20, 11]",23,14,26,20,11
Near North Side,"The Near North Side is a relatively wealthy area with median income of $121,562 and 58.8% of households making over $100,000. This suggests residents have significant disposable income and can absorb moderate increases in transportation costs","With high per capita income ($118,674), residents likely have substantial discretionary spending. A higher sales tax would impact this spending, but the community can generally handle it better than lower-income areas","The area has excellent transit access and high walkability, reflected in low car ownership (45.6% no vehicle) and diverse travel modes (18.9% transit, 27.6% walk/bike). Many residents don't rely on cars for daily travel","1. Given high incomes and low car dependency, policies that improve transit service while discouraging driving align with community needs. 2. Higher driver fees are acceptable as fewer residents drive regularly. 3. Moderate transit fares are preferred to maintain accessibility. 4. Can accept higher sales tax given income levels. 5. Prioritized proposals that significantly reduce transit travel times while maintaining reasonable fares","[23, 14, 20, 11, 4]",23,14,20,11,4
Edison Park,"Edison Park is a relatively affluent community with median income of $120,024 and 59.4% of households earning over $100,000. This suggests residents have significant disposable income and can absorb moderate transportation cost increases.","With high per capita income ($57,872), residents likely have substantial discretionary spending. A sales tax increase would affect this spending, but impact would be manageable given income levels.","Car-centric community with 93.5% of households owning at least one vehicle and 69.1% driving alone to work. Only 8.4% use transit, suggesting car-dependency but potential for transit growth with improved service.","1. Given high car ownership and usage, policies that reduce car travel time while maintaining reasonable costs are preferred. 2. Community can afford moderate fee increases if they improve service. 3. Lower sales tax options preferred to preserve discretionary spending. 4. Balance needed between driving efficiency and transit improvement. 5. Selected policies that reduce transit travel time to potentially increase its adoption while keeping costs reasonable for both modes.","[14, 5, 13, 4, 11]",14,5,13,4,11
Norwood Park,"Norwood Park is relatively affluent with median household income of $107,122 and per capita income of $49,303. About 53.4% of households earn over $100,000 annually, suggesting significant disposable income","With higher incomes, residents have substantial discretionary spending power. The community can likely absorb moderate increases in transportation costs without severe impact on other consumption","71.1% drive alone to work, 7.3% use transit, and 92.3% of households own at least one vehicle. The area is car-dependent but has some transit access","1. Given high car dependency and income levels, policies with moderate driving fees are acceptable if they improve travel times. 2. Higher sales tax is tolerable given income levels if it improves service. 3. Moderate transit fares are acceptable since transit usage is lower. 4. Priority given to proposals that significantly reduce both car and transit travel times. 5. Selected proposals balance revenue generation for transit improvements while maintaining reasonable costs for majority car-using population","[23, 14, 5, 22, 13]",23,14,5,22,13
