community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Rogers Park,"Rogers Park has a median household income of around $47,000, lower than Chicago's median. About 27% of residents live below poverty level. Many residents are cost-sensitive and need to carefully manage transportation expenses.","Given the income levels, residents have limited discretionary spending. Many are students or working-class families who need to balance basic needs with transportation costs. Higher sales taxes would notably impact household budgets.",High transit dependency with good access to CTA Red Line and bus routes. About 35% of households don't own cars. Many residents commute to work/school using public transit. Walking and biking are common for local trips.,"1. Prioritize low transit fares due to high transit dependency and lower incomes. 2. Moderate sales tax to maintain transit service without overly burdening limited discretionary spending. 3. Support some driving fees to improve transit service and reduce congestion, but avoid highest fees. 4. Balance between transit time improvements and cost burden. 5. Consider student population's price sensitivity and frequent transit use.","[10, 1, 9, 19, 13]",10,1,9,19,13
West Ridge,"West Ridge has a median household income of around $54,000, which is moderate for Chicago. About 19% of residents live below poverty level, indicating a significant portion of population is price-sensitive to transportation costs",The community has moderate discretionary spending power. Many residents are working-class and middle-class families who need to carefully balance transportation costs with other essential expenses. The area has a significant immigrant population who tend to be price-conscious consumers,"The area has moderate transit access with several bus routes and proximity to Red Line stations. About 30% of residents use public transit for commuting, while 60% drive. The community is relatively far from downtown, making travel times a crucial factor. Many residents rely on both transit and driving options","1. Prioritize balanced policies that don't overly burden either drivers or transit users given mixed transportation needs. 2. Consider moderate tax rates to improve service while maintaining affordability. 3. Support policies that reduce transit travel times since many residents commute long distances. 4. Look for options that provide good transit service improvements without excessive costs. 5. Selected proposals 10, 13, 19, 4, and 22 as they offer good balance of reduced travel times, moderate costs, and service improvements through sustainable funding","[10, 13, 19, 4, 22]",10,13,19,4,22
Uptown,"Uptown has a mixed-income population with median household income around $53,000. About 23% of residents live below poverty level. Many residents are cost-sensitive and rely on public transportation.","Given the income levels, many residents have limited discretionary spending. Higher sales taxes would impact household budgets significantly. The area has many renters and working-class families who need to carefully manage transportation costs.","Uptown has excellent transit access with Red Line L, multiple bus routes, and bike lanes. About 42% of residents use public transit for commuting, 33% drive alone, and others walk or bike. The area has high transit dependency.","1. Given high transit usage, prioritize policies that improve transit service while keeping fares affordable. 2. Lower sales tax preferred due to significant cost-sensitive population. 3. Support moderate driving fees to fund transit and reduce congestion. 4. Balance between transit time improvements and cost burden. 5. Selected policies that provide best transit times while maintaining affordability for lower-income residents.","[11, 2, 10, 1, 20]",11,2,10,1,20
Lincoln Square,"Lincoln Square is a middle to upper-middle income area with median household income around $77,000. Residents have moderate disposable income but are price-sensitive to transportation costs","Area has significant retail and entertainment spending, with many local businesses, restaurants and shops. Residents generally have good discretionary spending power but are value-conscious","Well-served by Brown Line CTA, multiple bus routes, and good road network. High transit usage (40%+ commuters), but also significant car ownership. Mixed-use neighborhood with many amenities within walking/biking distance","1. Prioritize balanced policies that maintain good transit service without excessive taxes/fees given middle-income demographics. 2. Support transit improvements as area has high transit usage. 3. Moderate driving fees acceptable as many residents use multiple modes. 4. Lower fares preferred to maintain transit affordability. 5. Consider policies that reduce congestion as area has dense mixed-use character. Selected policies balance transit service quality, reasonable costs, and improved travel times for both modes","[13, 10, 4, 19, 22]",13,10,4,19,22
North Center,"North Center is an affluent area with median household income around $110,000, significantly above Chicago's average. Residents have relatively high disposable income and can generally afford higher transportation costs","Area has high discretionary spending power, with many residents spending on dining, entertainment, and retail. Higher sales tax would have moderate but manageable impact on consumption patterns","Well-served by Brown Line CTA, multiple bus routes, and good road network. 73% of residents commute by car, 20% by transit. Area has high car ownership but also good transit access. Many residents have flexibility to choose between modes","1. Given high income levels, prioritize time savings over cost savings. 2. Support policies that improve both transit and driving times since area uses both modes heavily. 3. Can tolerate higher fees/taxes due to strong economic position. 4. Prefer balanced approaches that improve transit service while maintaining reasonable driving conditions. 5. Selected proposals 14, 23, 5, 11, 20 as they offer best overall time savings with acceptable cost increases across both modes","[14, 23, 5, 11, 20]",14,23,5,11,20
Lake View,"Lake View is an affluent area with median household income around $90,000. Residents have relatively high disposable income and can generally afford higher transportation costs. Many residents work in professional services and have stable incomes.","The area has high discretionary spending power, with numerous restaurants, entertainment venues, and retail shops. Residents frequently engage in recreational activities and dining out. Higher sales taxes would have a moderate but not severe impact on consumption patterns.","Lake View has excellent transit access with multiple L lines (Red, Brown, Purple) and numerous bus routes. High walkability score and bike-friendly infrastructure. Many residents commute to downtown. Car ownership is lower than city average, with many households being car-free by choice.","1. Prioritize policies that improve transit service given high transit usage in area. 2. Higher income means community can tolerate some fare/tax increases if they lead to better service. 3. Support driving fees to reduce congestion and fund transit since many residents don't drive. 4. Balance between service improvements and cost increases. 5. Selected policies that significantly reduce transit travel times while keeping costs reasonable. Ranked proposals that combine moderate-to-high driving fees with moderate transit fares and taxes, as these optimize transit performance for the transit-oriented community.","[23, 14, 20, 11, 5]",23,14,20,11,5
Lincoln Park,"Lincoln Park is one of Chicago's most affluent neighborhoods with median household income over $115,000. Residents have high disposable income and can generally afford higher transportation costs","High levels of discretionary spending on retail, dining, and entertainment. The community has significant retail corridors and residents tend to make frequent trips for shopping and leisure activities","Well-served by public transit with multiple L lines (Brown, Purple, Red) and bus routes. High car ownership rates but also high walkability and biking infrastructure. Many residents commute downtown for work","1. Given high incomes, can tolerate higher taxes/fees to fund better transit service. 2. Many residents use mix of driving and transit, so balanced improvements to both modes is valuable. 3. Reducing congestion through driver fees would benefit neighborhood streets. 4. Higher transit investment justified by existing high transit usage. 5. Ranked proposals that balance travel time improvements across modes while accepting moderate cost increases. 6. Prioritized options with 1.0-1.5% tax rates to fund robust transit service. 7. Selected proposals with moderate to high driver fees to manage congestion","[23, 14, 26, 20, 11]",23,14,26,20,11
Near North Side,"Near North Side has one of the highest median household incomes in Chicago (over $100,000). Residents have significant disposable income and can generally afford higher transportation costs","High levels of discretionary spending, with numerous luxury retail, dining, and entertainment venues. Residents typically spend more on goods/services, so sales tax impact is notable but manageable","Excellent transit access with multiple L lines, bus routes, and walkable streets. High car ownership but also heavy traffic congestion. Many residents use mix of transit and driving depending on destination","1. Given high income levels, prioritize time savings over cost sensitivity. 2. Support better transit service through moderate fees/taxes since many residents use both modes. 3. Favor balanced proposals that improve both transit and driving times. 4. Consider higher driver fees to reduce congestion in dense area. 5. Moderate sales tax increase acceptable given spending patterns. Selected proposals that optimize travel times while maintaining reasonable fees","[23, 14, 5, 26, 17]",23,14,5,26,17
Edison Park,"Edison Park is an affluent community with median household income around $87,000, significantly higher than Chicago's average. Most residents have substantial disposable income and can afford higher transportation costs","High levels of discretionary spending capacity, with most households able to absorb increased transportation costs without significant impact on quality of life. Annual retail spending per household averages above $20,000",Highly car-dependent community with 89% of households owning cars. Has Metra access but limited CTA coverage. Most residents drive to work with average commute times of 35-40 minutes. Good road infrastructure but experiences rush hour congestion,"1. Given high car ownership and dependency, prioritize policies that reduce car travel times while accepting higher driving fees
2. Higher income means community can absorb higher costs
3. Limited transit use means higher transit fares have minimal community impact
4. Higher tax rates acceptable if they significantly improve driving conditions
5. Focus on reducing congestion through driving fees to improve commute reliability","[23, 14, 26, 20, 11]",23,14,26,20,11
Norwood Park,"Norwood Park is an upper-middle-class area with median household income around $82,000. Residents have relatively high disposable income and car ownership rates. Many households can afford higher transportation costs without severe budget constraints.",The area has significant discretionary spending capacity. Residents generally prioritize convenience and time savings over minor cost increases. The community has high retail spending and many residents commute to work by car.,The area has good road access but limited transit options compared to more central neighborhoods. The Blue Line serves parts of the area but many residents rely on cars. The community is more car-dependent due to its location and suburban character.,1. Prioritize policies that improve driving times since most residents drive. 2. Can tolerate moderate driving fees and taxes given income levels. 3. Transit improvements still valuable as secondary option. 4. Balance between travel time savings and cost increases. 5. Selected policies that reduce congestion through driving fees while maintaining reasonable transit fares. Ranked proposals that offer best driving time improvements while keeping combined tax/fee burden moderate.,"[14, 23, 5, 11, 20]",14,23,5,11,20
Jefferson Park,"Jefferson Park is a middle-class community with median household income around $71,000. Many residents are city workers and professionals. The area has relatively high homeownership rates and stable housing costs.","Residents have moderate discretionary spending power but are price-sensitive to additional taxes and fees. Many households have significant expenses related to housing, transportation, and family needs.","The area is well-served by public transit with Blue Line station, Metra, and multiple bus routes. High car ownership rates with many households having 2+ vehicles. Good road access to expressways. Mixed transit/driving commuting patterns.","1. Prioritize balanced options that don't overly burden middle-class residents with high taxes/fees
2. Consider strong existing transit infrastructure and mixed-mode usage patterns
3. Look for proposals that improve both transit and driving times without excessive cost increases
4. Focus on options that maintain reasonable transit fares while introducing moderate driving fees to reduce congestion
5. Avoid highest tax rates that would significantly impact discretionary spending
6. Selected proposals 13, 10, 4, 11, 14 as they offer good balance of improved travel times, moderate costs, and reasonable tax rates","[13, 10, 4, 11, 14]",13,10,4,11,14
Forest Glen,"Forest Glen is an affluent area with median household income around $106,000, well above Chicago average. Residents have relatively high disposable income and can generally afford higher transportation costs",High levels of discretionary spending capacity. Most households own cars and have significant retail spending. Higher sales tax would have moderate but manageable impact on consumption,"Primarily car-dependent suburban-style area with limited transit access. Most residents drive, though some use Metra and buses. Car ownership rate is over 90%. Distance from downtown means longer commute times","1. Given high car dependency and income levels, policies that improve driving times without excessive fees are preferred. 2. Higher sales tax is acceptable given income levels if it improves overall service. 3. Transit improvements still valuable as secondary option. 4. Moderate driving fees acceptable to reduce congestion. 5. Very high transit fares less concerning given income levels but should balance with driving costs. Selected policies balance these factors while maintaining reasonable costs for primary driving mode","[14, 23, 5, 13, 22]",14,23,5,13,22
North Park,"North Park has a median household income of around $65,000, placing it in the middle-upper range for Chicago. Many residents are working professionals and families with moderate disposable income.","The community has moderate discretionary spending capacity. Many residents own homes and cars, suggesting they can absorb some additional transportation costs but are still price-sensitive. The area has significant retail and service businesses indicating regular local consumer spending.","North Park has moderate transit access with bus routes and is somewhat car-dependent. The area is served by CTA buses and is relatively close to the Brown Line terminus, but many residents rely on cars for commuting. The community has good road access but experiences some congestion during peak hours.",1. Prioritize balanced policies that don't overly burden either drivers or transit users given mixed transportation needs. 2. Moderate tax rates preferred since income levels can sustain some increase but shouldn't be excessive. 3. Lower transit fares favored to encourage transit use while maintaining affordability. 4. Some driving fees acceptable to fund improvements and reduce congestion. 5. Selected policies that offer meaningful travel time improvements without extreme cost increases. Ranked proposals that balance these factors while considering the community's mixed-mode transportation needs.,"[13, 10, 4, 19, 22]",13,10,4,19,22
Albany Park,"Albany Park has a median household income of around $53,000, lower than Chicago's average. About 16% of residents live below poverty level, indicating many residents have limited disposable income","Given the moderate-to-low income levels, residents are price-sensitive to both transit fares and sales taxes. Many households need to carefully budget discretionary spending","Well-served by CTA Brown Line, multiple bus routes, and major arterial roads. About 36% of residents use public transit for commuting, 45% drive, indicating balanced modal split. Many residents depend on both transit and driving",1. Prioritize lower transit fares and moderate sales tax to help lower-income residents while maintaining service quality. 2. Support some driving fees to improve transit service without excessive burden. 3. Balance between travel time improvements and cost impacts. 4. Consider high transit usage in the community. 5. Avoid highest tax/fee combinations that would strain household budgets. Selected policies that offer good transit service improvements while keeping costs manageable for mixed-income population,"[10, 11, 13, 19, 4]",10,11,13,19,4
Portage Park,"Middle-class neighborhood with median household income around $65,000. Many working families with moderate disposable income. About 10% poverty rate indicates some economic constraints",Moderate discretionary spending capacity. Residents are price-sensitive but can afford some additional transportation costs. Many households have significant retail spending in local commercial districts,Mixed transit access - served by Blue Line and multiple bus routes but not as extensive as downtown areas. High car ownership rates (80%+ households). Many residents commute by both car and transit. Good road network with access to expressways,1. Prioritize balanced options that don't overly burden middle-class residents with high taxes/fees. 2. Consider both transit and driving improvements since community uses both modes. 3. Moderate tax rate (1%) can fund improvements without excessive burden. 4. Lower transit fares beneficial for transit-dependent residents. 5. Small driving fees acceptable to reduce congestion. Selected proposals balance travel time improvements with moderate cost increases. Ranked based on overall community benefit vs cost burden,"[13, 10, 12, 4, 9]",13,10,12,4,9
Irving Park,"Irving Park has a median household income of approximately $71,000, which is above Chicago's median. About 10% of residents live below poverty level. The community has a mix of middle-class and working-class households with moderate disposable income.","Residents have moderate discretionary spending capacity. The area has a significant number of homeowners with mortgage payments. Retail spending is moderate, with many local businesses and shopping areas along commercial corridors.","The area is well-served by public transit with Blue Line L, Metra UP-NW line, and multiple bus routes. Car ownership is high with good access to major arterials and expressways. Many residents commute both by transit and car to work, showing multi-modal transportation needs.","1. Prioritize balanced policies that don't overly burden either drivers or transit users given the mixed-mode usage in the area. 2. Consider moderate tax rates that can improve service without excessive burden on middle-class discretionary spending. 3. Support policies that reduce transit travel times to benefit commuters while maintaining reasonable driving conditions. 4. Look for proposals that keep transit affordable while generating revenue for improvements. 5. Selected proposals 13, 10, 4, 22, and 19 as they offer good balance of reduced travel times, moderate fees, and sustainable funding.","[13, 10, 4, 22, 19]",13,10,4,22,19
Dunning,"Dunning is a middle-class community with median household income around $65,000-70,000. Most residents are working professionals and families with moderate disposable income. The area has relatively high car ownership rates.","Residents have moderate discretionary spending capacity but are price-sensitive to additional taxes and fees. Many households own cars and regularly make purchases in nearby commercial areas, making them sensitive to both sales tax changes and transportation costs.","Dunning is a more car-dependent community on Chicago's northwest side. Transit access is limited mainly to bus services, with longer travel times to downtown and other areas. Most residents rely on personal vehicles for commuting and daily trips. The area has good road infrastructure but experiences some congestion during peak hours.","1. Prioritize proposals that maintain reasonable driving costs while improving transit service, given high car dependency
2. Balance moderate sales tax rates to avoid excessive burden on household purchases
3. Support proposals that reduce congestion and driving times
4. Consider modest driver fees to fund transit improvements
5. Prefer lower transit fares to encourage occasional transit use as alternative
Selected proposals balance these factors while maintaining affordability for middle-class residents","[4, 13, 3, 12, 10]",4,13,3,12,10
