community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Rogers Park,"Rogers Park has a median household income of around $47,000, lower than Chicago's median. About 27% of residents live below poverty level. Many residents are cost-sensitive and need to carefully manage transportation expenses.",Limited discretionary spending capacity due to lower income levels. Many residents are students or working-class families who need to balance basic needs with transportation costs. Higher sales taxes would notably impact household budgets.,High transit accessibility with Red Line L station and multiple bus routes. 35% of households don't own cars. Many residents rely on public transit for commuting to work/school. Walking and biking are common. Good proximity to lakefront and local amenities.,"1. Prioritize low transit fares due to high transit dependency and lower incomes. 2. Moderate sales tax to maintain service quality while not overly burdening limited discretionary spending. 3. Support some driving fees to improve transit service and reduce congestion, but avoid highest fees. 4. Balance between transit time improvements and cost burden. 5. Selected proposals that maintain affordable transit while providing service improvements.","[10, 11, 9, 1, 13]",10,11,9,1,13
West Ridge,"West Ridge has a median household income of around $54,000, slightly below Chicago's median. About 19% of residents live below poverty level. The community has a significant immigrant population with varying income levels",Many households have limited discretionary spending capacity. The area has many working-class and middle-class families who are price-sensitive to transportation costs and sales tax increases,"The area has moderate transit access with bus routes and is somewhat distant from L trains. About 30% of residents use public transit for commuting, while car ownership is relatively high. Many residents rely on both transit and driving depending on destination",1. Prioritize lower sales tax (0.5%) to protect discretionary spending power of moderate-income residents. 2. Balance moderate transit fares ($1.25) with service improvements to maintain affordability while enhancing service. 3. Support modest driving fees ($0.50) to improve transit without overly burdening drivers. 4. Focus on proposals that reduce transit travel times to benefit transit-dependent residents. 5. Consider proposals that maintain reasonable driving costs for car-dependent households while encouraging transit use,"[4, 1, 13, 10, 7]",4,1,13,10,7
Uptown,"Uptown has a mixed-income population with median household income around $53,000. About 23% of residents live below poverty level. Many residents are cost-sensitive when it comes to transportation expenses.","Given the income levels, many residents have limited discretionary spending. Higher sales taxes would impact household budgets significantly. The community has high rental rates and housing costs that already strain budgets.","Uptown has excellent transit access with Red Line L, multiple bus routes, and Metra. About 42% of residents use public transit for commuting, 33% drive alone, and others walk or bike. The area has high transit dependency.","1. Given high transit usage and mixed income levels, prioritize low fares and moderate taxes to maintain affordability. 2. Support some driving fees to improve transit service without overly burdening drivers. 3. Policy 10 ranks first as it balances low fare ($0.75) with moderate tax (1%) and modest driving fee ($0.50). 4. Policy 11 second as it further improves transit times. 5. Policy 1 third as it keeps tax low but maintains service. 6. Policy 19 fourth as it improves service but tax impact concerning. 7. Policy 13 fifth as balanced approach with standard fare.","[10, 11, 1, 19, 13]",10,11,1,19,13
Lincoln Square,"Lincoln Square is a middle to upper-middle income area with median household income around $77,000. Residents have moderate disposable income but are price-sensitive to transportation costs.","The area has significant retail and entertainment spending, with many local businesses, restaurants, and shopping districts. Residents generally have good discretionary spending power but are value-conscious.","Well-served by CTA Brown Line, multiple bus routes, and major arterial roads. High transit usage (40%+ commuters), significant walking/biking, but also considerable car ownership. Good mix of transportation options.","1. Prioritize balanced policies that maintain good transit service while keeping costs moderate for both transit and driving users. 2. Favor proposals with moderate sales tax (1%) as community has retail spending but wants to maintain local business vitality. 3. Support modest driver fees to reduce congestion but avoid highest fees that could hurt local businesses. 4. Look for proposals that improve transit times without excessive fare increases. 5. Selected proposals 13, 10, 4, 14, and 16 as they offer good transit time improvements, reasonable costs, and balanced funding approach.","[13, 10, 4, 14, 16]",13,10,4,14,16
North Center,"North Center is an affluent area with median household income around $110,000, significantly above Chicago's average. Residents have relatively high disposable income and can generally afford higher transportation costs","Area has high discretionary spending power, with many residents spending on dining, entertainment, and retail. Higher sales tax would have moderate but manageable impact on consumption patterns","Well-served by Brown Line, multiple bus routes, and major arterial roads. 76% of residents commute by car or transit. Good mix of transit and driving options with relatively high car ownership. Area has many local businesses and amenities within walking/biking distance","1. Given high income levels, can prioritize time savings over cost savings. 2. Strong existing transit infrastructure means improvements will be well-utilized. 3. Higher driver fees acceptable as most residents can afford it and it will reduce congestion. 4. Moderate tax increase acceptable given income levels. 5. Prefer balanced approach between transit improvements and driving costs. Selected proposals that optimize travel times while keeping costs within reasonable bounds for mixed-mode community","[23, 14, 5, 20, 11]",23,14,5,20,11
Lake View,"Lake View is an affluent area with median household income around $90,000. Residents have relatively high disposable income and can generally afford higher transportation costs. Many residents work in professional services and have stable incomes.","The area has high discretionary spending power, with numerous restaurants, entertainment venues, and retail shops. Residents frequently engage in recreational activities and dining out. Higher sales taxes would have a moderate but not severe impact on consumption patterns.","Lake View has excellent transit access with multiple L lines (Red, Brown, Purple) and numerous bus routes. High walkability score and bike-friendly infrastructure. Many residents commute to downtown. Car ownership is lower than city average, with many households being car-free by choice.",1. Prioritize policies that improve transit service given high transit usage in area. 2. Higher income means community can tolerate some fare/tax increases if they lead to better service. 3. Support driving fees to reduce congestion and fund transit since many residents don't drive. 4. Balance between service improvements and cost increases since many young professionals are price-sensitive. 5. Consider policies that reduce transit travel times most significantly since many residents rely on transit for commuting.,"[23, 26, 14, 20, 11]",23,26,14,20,11
Lincoln Park,"Lincoln Park is one of Chicago's most affluent neighborhoods with median household income over $115,000. Residents have high disposable income and can generally afford higher transportation costs","High levels of discretionary spending on retail, dining, and entertainment. The community has significant retail corridors and residents tend to make frequent trips for shopping and leisure activities","Well-served by public transit with multiple L lines (Brown, Purple, Red) and bus routes. High car ownership rates but also high walkability and bikeability. Many residents commute downtown for work","1. Given high incomes, can tolerate higher taxes/fees to fund better transit service. 2. Many residents use both cars and transit, so balanced improvements to both modes are valuable. 3. Reducing congestion through driver fees would benefit the dense, busy neighborhood. 4. Higher transit fares acceptable given income levels if they improve service. 5. Prioritize proposals that reduce travel times for both modes. Selected proposals balance revenue generation with service improvements while maintaining reasonable costs for affluent population","[26, 23, 14, 20, 11]",26,23,14,20,11
Near North Side,"Near North Side has one of the highest median household incomes in Chicago (over $100,000). Residents generally have high disposable income and can absorb higher transportation costs without significant impact on quality of life","Area has high levels of discretionary spending on retail, dining, and entertainment. Residents make frequent trips for shopping and leisure activities. Higher sales tax would have minimal impact given high consumption levels","Excellent transit access with multiple L lines, bus routes, and walkable streets. High car ownership but also heavy transit usage. Major employment and entertainment destination with significant traffic congestion. Many residents have flexibility to choose between driving and transit","1. Given high incomes, prioritize policies that reduce travel times over cost savings. 2. Support higher driver fees to reduce congestion in this dense area. 3. Moderate transit fares to maintain service quality while keeping transit competitive. 4. Can accept higher sales tax given affluent population. 5. Focus on policies that encourage transit use to reduce local traffic. Selected policies balance travel time improvements with sustainable funding through higher fees/taxes, appropriate for this wealthy, transit-rich area","[26, 23, 20, 14, 8]",26,23,20,14,8
Edison Park,"Edison Park is an affluent community with median household income around $87,000, significantly higher than Chicago's average. Most residents are middle to upper-middle class with good disposable income","Residents have substantial discretionary spending power, with higher than average retail spending. The community can generally absorb moderate increases in transportation costs without severe impact on quality of life","Located on far northwest side, heavily car-dependent area with longer commute times to downtown. Has Metra access but limited CTA coverage. Over 90% of households own cars, with many being two-car households. Most residents drive for daily activities","1. Given high car ownership and dependency, policies that improve driving times are important but community can afford some driving fees. 2. Higher income means sales tax impact is manageable. 3. Transit improvements still valuable as secondary option. 4. Prefer balanced approaches that improve both modes. 5. Selected policies that reduce congestion through moderate fees while maintaining reasonable transit fares. Ranked based on overall time savings weighted toward driving improvements, while accepting moderate cost increases given community's economic status","[14, 5, 23, 17, 8]",14,5,23,17,8
Norwood Park,"Norwood Park is an upper-middle-class area with median household income around $82,000. Residents have relatively high disposable income compared to Chicago average, making them less sensitive to moderate fare/fee increases",High levels of discretionary spending capacity. Many households own cars and can afford higher transportation costs. The 1-1.5% sales tax impact would be noticeable but manageable given income levels,Located on far northwest side with good access to Blue Line and Metra. High car ownership rates (~90% households have cars). Most residents drive but want transit options. Average commute involves mix of driving and transit,"1. Prioritize policies that improve both driving and transit times while keeping costs moderate - residents use both modes
2. Can accept moderate tax/fee increases given income levels if they yield better service
3. Focus on balanced proposals that don't extremely favor one mode
4. Prefer proposals with 1% tax over 1.5% given community's high consumption
5. Value driving time improvements but want viable transit option
6. Selected proposals 14, 13, 11, 10, 4 as they offer good time savings for both modes with moderate cost increases","[14, 13, 11, 10, 4]",14,13,11,10,4
