community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Rogers Park,"Rogers Park has a median household income of around $47,000, lower than Chicago's median. About 27% of residents live below poverty level. Many residents are cost-sensitive and need to carefully manage transportation expenses.","Given the income levels, residents have limited discretionary spending. Many are students or working-class families who need to balance basic needs with transportation costs. Higher sales taxes would notably impact household budgets.",High transit dependency with good access to CTA Red Line and multiple bus routes. About 35% of households don't own cars. Many residents commute to work/school using public transit. Walking and biking are common for local trips.,"1. Prioritize low transit fares due to high transit dependency and lower incomes. 2. Moderate sales tax to maintain service quality while not overly burdening limited discretionary spending. 3. Support some driving fees to improve transit service and reduce congestion, but not highest level due to working families who depend on cars. 4. Balance between transit time improvements and cost burden. 5. Consider student population's need for affordable transit access.","[10, 11, 9, 1, 2]",10,11,9,1,2
West Ridge,"West Ridge has a median household income of around $54,000, slightly below Chicago's median. About 18% of residents live below poverty level. The community has a significant immigrant population with varying income levels",Many households have limited discretionary spending capacity. The area has many working-class and middle-class families who are price-sensitive to transportation costs and sales tax increases,"The area has moderate transit access with bus routes and is somewhat distant from L trains. About 30% of residents use public transit for commuting, while many depend on cars. The community has a significant elderly population who rely on both transit and driving",1. Prioritize lower sales tax (0.5%) to protect discretionary spending power. 2. Balance moderate transit fares ($1.25) with service quality improvements. 3. Support modest driving fees ($0.50) to improve transit without overly burdening drivers. 4. Consider travel time improvements for both modes given mixed transit-driving usage. 5. Avoid highest-cost combinations due to community's income constraints. Selected proposals balance service improvements with cost sensitivity,"[4, 1, 13, 7, 10]",4,1,13,7,10
Uptown,"Uptown has a mixed-income population with median household income around $53,000. About 23% of residents live below poverty level. Many residents are cost-sensitive when it comes to transportation expenses.","Given the income levels, many residents have limited discretionary spending. Higher sales taxes would impact household budgets significantly. The community has high housing costs, leaving less for other expenses.","Uptown has excellent transit access with Red Line L, multiple bus routes, and Metra. About 42% of residents use public transit for commuting, 33% drive alone, and others walk/bike. The area has high transit dependency.","1. Given high transit usage and mixed income levels, prioritize low fares and moderate taxes to maintain affordability. 2. Support some driving fees to improve transit service without overly burdening drivers. 3. Policy 10 ranks first as it balances low fares ($0.75) with moderate tax (1%) and driving fee ($0.50). 4. Policy 11 second as it further improves transit times. 5. Policy 1 third with lower tax burden. 6. Policy 19 fourth as it maintains low fares but higher tax. 7. Policy 13 fifth as it has balanced approach with moderate fare increase.","[10, 11, 1, 19, 13]",10,11,1,19,13
Lincoln Square,"Lincoln Square is a middle to upper-middle income area with median household income around $75,000. Residents have moderate disposable income but are price-sensitive to transportation costs","Area has significant retail and entertainment spending, with many local businesses, restaurants and shops. Residents generally have good discretionary spending power but are value-conscious","Well-served by Brown Line CTA, multiple bus routes, and good road network. High transit usage (40%+ commuters), but also significant car ownership. Mixed-use neighborhood with many amenities within walking/biking distance","1. Prioritize balanced policies that maintain good transit service without excessive taxes/fees given middle-income demographics. 2. Support transit improvements as area has high transit usage. 3. Moderate driving fees acceptable as many residents use multiple modes. 4. Lower fares preferred to maintain transit affordability. 5. Consider policies that reduce congestion as area has dense mixed-use character. Selected policies balance transit service quality, moderate costs, and multi-modal efficiency","[13, 10, 4, 19, 22]",13,10,4,19,22
North Center,"North Center is an affluent area with median household income around $110,000, significantly above Chicago's average. Residents have relatively high disposable income and can generally afford higher transportation costs","Area has high discretionary spending power, with many residents spending on dining, entertainment, and retail. Higher sales tax would have moderate but manageable impact on consumption patterns","Well-served by Brown Line, multiple bus routes, and major arterial roads. 76% of residents commute by car or transit. Good mix of transportation options with relatively high car ownership but also strong transit usage","1. Prioritize policies that improve both transit and driving times given mixed-mode usage
2. Community can absorb moderate cost increases for better service
3. Higher tax/fee combinations acceptable if they significantly improve travel times
4. Focus on balanced proposals that don't overly burden either mode
5. Selected proposals 23, 14, 26, 20, 11 as they offer best overall time savings with acceptable cost increases for this affluent area","[23, 14, 26, 20, 11]",23,14,26,20,11
Lake View,"Lake View is an affluent area with median household income around $90,000. Residents have relatively high disposable income and can generally afford higher transportation costs. Many young professionals live in the area with good paying jobs.","Residents have significant discretionary spending power and actively participate in the area's vibrant retail, dining, and entertainment scene. The community has high consumer spending on non-essential goods and services.","Lake View has excellent transit access with multiple L train lines (Red, Brown, Purple) and numerous bus routes. High walkability score and bike-friendly infrastructure. Many residents commute to downtown. Car ownership is lower than city average due to good transit options.","1. Prioritize policies that improve transit service given high transit usage in area
2. Higher income means community can tolerate higher fees/taxes if they improve service
3. Focus on reducing transit travel times since many residents rely on transit
4. Support policies with higher driver fees to reduce congestion and encourage transit use
5. Balance improved service with moderate tax increases given the area's commercial vitality","[26, 23, 20, 14, 11]",26,23,20,14,11
Lincoln Park,"Lincoln Park is one of Chicago's most affluent neighborhoods with median household income over $115,000. Residents have high disposable income and can generally afford higher transportation costs","High levels of discretionary spending on retail, dining, and entertainment. The community has significant retail corridors and residents tend to make frequent trips for shopping and leisure activities","Well-served by public transit with multiple L stations (Red/Brown/Purple lines) and bus routes. High car ownership rates but also high transit usage. Dense, walkable neighborhood with many destinations accessible by multiple modes","1. Given high incomes, can tolerate higher fees/taxes to fund better service. 2. Mixed-mode transportation patterns suggest balancing car and transit improvements. 3. Dense retail/commercial activity means frequent trips - travel time savings valuable. 4. Higher driver fees acceptable to reduce congestion in dense area. 5. Prefer options that significantly improve transit times while maintaining reasonable driving access. Selected proposals that combine moderate-to-high driver fees with moderate transit fares to optimize both modes","[23, 14, 5, 17, 8]",23,14,5,17,8
Near North Side,"Near North Side has one of the highest median household incomes in Chicago (over $100,000). Residents have significant disposable income and can generally afford higher transportation costs","High levels of discretionary spending, with residents frequently engaging in shopping, dining, and entertainment. The area has numerous luxury retail stores and high-end restaurants. Higher sales tax impact would be noticeable but manageable for most residents","Excellent transit access with multiple L lines (Red, Brown, Purple), numerous bus routes, and high walkability. Also has good road infrastructure but experiences heavy traffic congestion. High car ownership but many residents also regularly use transit","1. Given high income levels, prioritize time savings over cost savings. 2. Support policies that reduce congestion since area has dense traffic. 3. Balance between transit improvement and driving efficiency as residents use both modes. 4. Can tolerate higher taxes/fees for better service. 5. Prefer policies that significantly improve transit times while maintaining reasonable driving times. Selected proposals 26, 23, 14, 8, and 5 as they offer best combination of reduced transit times and manageable driving times, with costs being less of a concern for this affluent area","[26, 23, 14, 8, 5]",26,23,14,8,5
Edison Park,"Edison Park is an affluent community with median household income around $87,000, significantly higher than Chicago's average. Most residents are middle to upper-middle class with good disposable income","High discretionary spending capacity, with most households able to afford cars and having significant retail spending. Higher sales tax impact would be noticeable but manageable for most residents",Predominantly car-dependent community with good access to highways. Has Metra service but limited CTA coverage. Most residents (85%+) commute by car. Distance from downtown makes transit times significantly longer,"1. Given high car dependency and income levels, policies with moderate driving fees are acceptable if they reduce congestion
2. Higher sales tax is less preferred due to high discretionary spending
3. Transit fare less critical since fewer residents rely on transit
4. Prioritize policies that reduce car travel times given dominant car usage
5. Balance between driving costs and congestion reduction
Selected policies that maintain reasonable driving costs while improving travel times, with moderate tax burden","[4, 13, 5, 14, 22]",4,13,5,14,22
Norwood Park,"Norwood Park is an upper-middle-class area with median household income around $82,000. Residents have relatively high disposable income and car ownership rates. Many households can afford multiple vehicles.",Residents have significant discretionary spending capacity. The area has high rates of homeownership and retail spending. A sales tax increase would have moderate but manageable impact on household budgets.,"The area is served by the CTA Blue Line and Metra, but many residents rely heavily on cars. The community is somewhat car-dependent with good road access but longer transit travel times to downtown and other areas. Most households own 1-2 cars.","1. Given high car dependency but decent income levels, moderate driving fees are acceptable if they improve traffic flow. 2. Higher sales tax is less preferred due to significant retail spending in the area. 3. Transit fares matter less since transit usage is lower, but maintaining reasonable fares helps occasional transit users. 4. Prioritize policies that reduce driving times while keeping taxes moderate. 5. Balance between driving costs and transit improvements since many residents use both modes.","[14, 5, 13, 4, 11]",14,5,13,4,11
Jefferson Park,"Jefferson Park is a middle-class community with median household income around $71,000. Many residents are working professionals and city workers. The area has relatively high homeownership rates and stable housing costs.","Residents have moderate discretionary spending power but are price-sensitive to additional taxes and fees. Many households have significant expenses related to housing, transportation, and family needs.","The area is well-served by public transit with the Jefferson Park Transit Center (Blue Line, Metra, buses). However, many residents still rely on cars for work commutes and daily errands. The community has good road access via I-90 and major arterials.","1. Prioritize balanced options that don't overly burden middle-class residents with high taxes/fees
2. Consider strong transit presence but acknowledge car dependency for many trips
3. Look for proposals that improve both transit and driving times without excessive costs
4. Favor moderate fare increases over high sales tax due to impact on overall household budgets
5. Value proposals that reduce congestion while maintaining affordability","[13, 4, 10, 22, 16]",13,4,10,22,16
Forest Glen,"Forest Glen is an affluent area with median household income around $106,000, well above Chicago average. Residents have relatively high disposable income and can generally afford higher transportation costs",High levels of discretionary spending capacity. Most households own cars and have significant retail expenditure. Higher sales tax would impact but not severely constrain spending,"Primarily car-dependent suburban-style area with lower transit access compared to city core. Most residents drive, with 85%+ car ownership. Limited bus service and distance from L trains makes transit less convenient. Good road network access","1. Given high car dependency and income levels, policies that improve driving times without excessive fees are preferred. 2. Higher sales tax is acceptable given income levels if it improves overall service. 3. Transit improvements still valuable as secondary option and for equity. 4. Moderate driving fees acceptable to reduce congestion. 5. Very high transit fares less important given lower transit usage. Selected policies balance driving time improvements with moderate cost increases that community can afford","[14, 23, 5, 13, 22]",14,23,5,13,22
