community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Rogers Park,"Rogers Park has a median income of $57,591, with 44.8% of households earning less than $50,000 annually. This suggests many residents have limited disposable income and would be sensitive to increased transportation costs.","Given the income distribution and cost of living in Chicago, many Rogers Park residents likely have modest discretionary spending capacity. Higher sales taxes would notably impact their purchasing power.","The community has high transit usage (28.1%) and low car ownership (37.2% have no vehicle). The area is served by CTA Red Line and multiple bus routes, making transit accessibility crucial for residents.",1. Prioritized lower transit fares ($0.75) given high transit dependency and lower incomes. 2. Favored moderate driving fees ($0.50-$1.00) to improve transit service without overly burdening drivers. 3. Selected lower sales tax rates (0.5-1.0%) to protect discretionary spending. 4. Balanced travel time improvements with cost impacts. 5. Considered that 39.3% drive alone and need reasonable driving costs.,"[1, 2, 10, 11, 4]",1,2,10,11,4
West Ridge,"Mixed income levels with median household income of $68,091. 37.4% households earn less than $50,000, while 32.5% earn over $100,000. Per capita income is $32,132, suggesting moderate disposable income overall.","Given the income distribution and household sizes (average 2.9 people), many families likely have limited discretionary spending. Higher taxes and fees would impact the 37.4% lower-income households more significantly.","59.2% drive alone and 10% carpool, while 12.5% use transit. 13.3% have no vehicle, making transit essential. Good mix of transportation needs with 86.6% having at least one vehicle but significant transit dependency.",1. Prioritize lower sales tax (0.5%) to protect discretionary spending for mixed-income population. 2. Moderate transit fares ($1.25) to balance transit ANONYMOUS
Uptown,"Mixed income levels with 38.6% earning under $50k and 31% earning over $100k. Median income of $66,871 suggests moderate disposable income, but significant income disparity exists","Given the high percentage of lower-income households (23.2% under $25k) and moderate median income, many residents would be sensitive to increased taxes and fees. Higher-income residents have more flexibility with transportation costs",Strong transit usage (34.9% commute by transit) and high percentage of car-free households (42.1%). Good transit access with multiple L lines and bus routes. Only 32.5% drive alone to work,1. Prioritize lower transit fares due to high transit dependency and lower-income population. 2. Moderate tax increase acceptable to maintain service quality. 3. Support driving fees to fund transit and reduce congestion. 4. Balance between transit improvement and cost burden on residents. 5. Consider high percentage of no-car households needing reliable transit,"[11, 20, 10, 19, 2]",11,20,10,19,2
Lincoln Square,"Lincoln Square has a relatively high median income of $90,569, with 45.2% of households earning over $100,000. However, there's income diversity with 25.7% earning under $50,000, suggesting varying levels of disposable income across the community","With a per capita income of $57,351, residents have moderate to high discretionary spending power. The sales tax impact would be notable but manageable for most residents, though it would affect lower-income households more significantly","The community shows diverse transportation usage: 39.1% drive alone, 26% use transit, and 21.6% work from home. 74.5% of households own at least one car, while 21.6% have no vehicle, indicating good mixed-mode accessibility needs",1. Prioritized balanced policies that benefit both transit and car users given the mixed transportation profile. 2. Considered moderate tax rates to maintain services without overly burdening lower-income residents. 3. Favored proposals with lower transit fares to support the significant transit-dependent population. 4. Selected options with moderate driving fees to reduce congestion while not excessively penalizing drivers. 5. Weighted travel time improvements against cost increases for both modes,"[13, 10, 4, 19, 22]",13,10,4,19,22
North Center,"North Center is an affluent area with median income of $148,585 and 67.4% of households earning over $100,000. This suggests residents have significant disposable income and can generally afford higher transportation costs","With high incomes, residents likely have substantial discretionary spending. A sales tax increase would affect this but would be relatively manageable given the wealth level. Annual consumption is likely high, making sales tax impact notable but not burdensome","The area has good transportation options with 87.4% of households having at least one vehicle and 20% using transit for commuting. 29.2% work from home, reducing daily transportation needs. The area is well-served by both driving and transit infrastructure","1. Given high incomes, prioritize time savings over cost savings. 2. Support policies that improve both transit and driving times since area uses both modes significantly. 3. Can tolerate higher fees/taxes given income levels if they yield better service. 4. Consider work-from-home population that makes fewer trips. 5. Balance between transit improvements and driving efficiency since area has mixed mode usage","[23, 26, 14, 20, 11]",23,26,14,20,11
Lake View,"Lake View is a relatively affluent area with median income of $100,625 and 50.2% of households making over $100,000. This suggests residents have higher disposable income and can better absorb transportation costs compared to other areas.","With high per capita income ($87,044), residents likely have significant discretionary spending. However, the high cost of living in Lake View means transportation costs still impact overall household budgets.","The area has excellent transit access with 36.9% using transit for commuting. 39.6% of households don't own vehicles, indicating strong transit dependency. The high density and mixed-use nature of Lake View makes both transit and driving viable options.",1. Prioritized policies that balance transit improvements with moderate costs given the mixed transit/driving community. 2. Considered that many residents can afford slightly higher costs if it means better service. 3. Selected policies that reduce transit travel times since over 1/3 use transit. 4. Accounted for the 27.6% who drive by avoiding excessive driving fees. 5. Chose options that maintain good service levels while keeping tax burden reasonable for the large middle/upper-middle class population.,"[14, 23, 13, 11, 4]",14,23,13,11,4
Lincoln Park,"Lincoln Park is an affluent area with median household income of $134,277 and 61.3% of households earning over $100,000. This suggests residents have significant disposable income and can absorb moderate increases in transportation costs","With high per capita income ($109,538), residents likely have substantial discretionary spending. A higher sales tax would impact this but may be tolerable given the wealth levels. Annual consumption is likely high, making sales tax impact notable","The area has high transit usage (33.4%) and low car dependency (32.3% no vehicle, 47.8% one vehicle). Good mix of transportation modes with significant walk/bike share (9.3%). This suggests strong transit infrastructure and multiple viable transportation options","1. Prioritized proposals that improve transit times while keeping fares moderate, given high transit usage. 2. Considered that higher driver fees are acceptable as most households have 0-1 cars and many use alternative modes. 3. Moderate sales tax increase acceptable given high incomes. 4. Balanced time savings with cost increases, knowing community can absorb some cost increase. 5. Favored proposals that reduce car travel times to benefit the 27% who drive alone","[23, 14, 20, 11, 4]",23,14,20,11,4
Near North Side,"Near North Side has high disposable income with median income of $121,562 and 58.8% households making over $100,000. This suggests residents can generally absorb higher transportation costs and taxes","High per capita income ($118,674) indicates substantial discretionary spending. Higher sales tax impact would be notable but manageable given the affluent population","Area has excellent transit access with 45.6% no-vehicle households. Mixed transportation usage: 18.9% transit, 27.6% walk/bike, 23.3% drive. Dense urban area with many transportation options","1. Prioritized policies that improve transit times given high transit/walking population
2. Community can handle higher taxes/fees to fund better service
3. Selected balanced approaches that reduce car congestion while improving transit
4. Considered that many residents don't own cars (45.6%)
5. Higher driver fees acceptable as most driving is discretionary
6. Focused on policies that reduce transit times below 52 minutes
7. Selected options that balance all revenue sources (tax, fare, fees)","[26, 23, 14, 20, 8]",26,23,14,20,8
Edison Park,"Edison Park is a relatively affluent community with median income of $120,024 and 59.4% of households earning over $100,000. This suggests residents have significant disposable income and can absorb moderate transportation cost increases","With high per capita income ($57,872), residents likely have substantial discretionary spending. However, the 22.6% of households earning under $50,000 need to be considered in policy impacts on consumption","The community is heavily car-dependent with 93.5% of households owning cars and 74.9% driving for commuting. Only 8.4% use transit, suggesting limited transit accessibility or preference for driving","1. Given high car ownership and usage, policies with moderate driving fees are acceptable if they improve traffic flow. 2. Higher sales tax is viable given high disposable incomes. 3. Moderate transit fares are preferred to maintain service while not overly burdening lower-income residents. 4. Prioritized policies that significantly reduce car travel times given dominant driving mode. 5. Selected options that balance revenue generation for transit improvements while maintaining reasonable costs for both drivers and transit users","[23, 14, 5, 20, 11]",23,14,5,20,11
Norwood Park,"Norwood Park is relatively affluent with median household income of $107,122 and per capita income of $49,303. About 53.4% of households earn over $100,000 annually, suggesting significant disposable income","With higher incomes, residents have substantial discretionary spending power. The community can likely absorb moderate increases in transportation costs without severe impact on other consumption","71.1% drive alone to work, 7.3% use transit, and 92.3% of households own at least one vehicle. The area is car-dependent but has some transit access","1. Given high car dependency and income levels, policies with moderate driving fees are acceptable if they improve travel times. 2. Higher sales tax is tolerable given income levels if it improves service. 3. Moderate transit fares are acceptable since transit usage is lower. 4. Priority given to proposals that significantly reduce both car and transit travel times. 5. Selected proposals balance revenue generation for transit improvements while maintaining reasonable costs for majority car-using population","[14, 23, 5, 13, 4]",14,23,5,13,4
