community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Rogers Park,"Rogers Park has a median household income of around $47,000, lower than Chicago's median. About 27% of residents live below poverty level. Many residents are cost-sensitive and need to carefully manage transportation expenses.","Given the income levels, residents have limited discretionary spending. Many are students or working-class families who need to balance basic needs with transportation costs. Higher sales taxes would notably impact household budgets.",High transit dependency with good access to CTA Red Line and multiple bus routes. About 35% of households don't own cars. Many residents commute to work/school using public transit. Walking and biking are common for local trips.,"1. Prioritize low transit fares due to high transit dependency and lower incomes. 2. Moderate sales tax to maintain transit service without overly burdening limited discretionary spending. 3. Support some driving fees to improve transit service and reduce congestion, but not highest level given some residents need cars. 4. Balance between transit time improvements and cost burden. 5. Selected proposals that reduce transit travel times while keeping fares affordable.","[10, 11, 19, 13, 20]",10,11,19,13,20
West Ridge,"West Ridge has a median household income of around $54,000, which is moderate for Chicago. About 19% of residents live below poverty level, indicating a significant portion of population is price-sensitive to transportation costs",The community has moderate discretionary spending power. Many residents are working-class and middle-class families who need to carefully balance transportation costs with other essential expenses. The area has a significant immigrant population who tend to be price-conscious consumers,"The area has moderate transit access with several bus routes and proximity to the Red Line. About 30% of residents use public transit for commuting, while 60% drive. The community is relatively far from downtown, making travel times a crucial factor. Many residents need cars to access jobs and services","1. Prioritize balanced policies that don't overly burden either drivers or transit users given the mixed-mode usage. 2. Consider moderate tax rates to improve service while maintaining affordability. 3. Favor policies that reduce transit travel times since many residents commute long distances. 4. Look for proposals that offer good time savings without excessive costs. 5. Selected proposals 11, 13, 10, 19, and 4 as they offer good balance of improved transit times, moderate costs, and reasonable driving conditions","[11, 13, 10, 19, 4]",11,13,10,19,4
Uptown,"Uptown has mixed income levels with median household income around $53,000. About 20% of residents live below poverty line. Many residents are cost-sensitive when it comes to transportation expenses.",Significant portion of residents have limited discretionary spending. Higher sales taxes would impact local businesses and resident purchasing power. Many residents rely on public transit for essential trips.,"Well-served by CTA Red Line, multiple bus routes, and Lake Shore Drive. High transit dependency with ~40% of households not owning cars. Dense, walkable neighborhood with many local amenities. Good mix of transit and driving options.",1. Prioritize lower transit fares due to high transit dependency and lower incomes. 2. Moderate sales tax to balance revenue needs with impact on discretionary spending. 3. Support driving fees to improve transit service without overly burdening drivers. 4. Focus on proposals that reduce transit travel times to benefit transit-dependent population. 5. Consider balance of car vs transit improvements given mixed-mode usage.,"[11, 10, 20, 19, 2]",11,10,20,19,2
Lincoln Square,"Lincoln Square is a middle to upper-middle income area with median household income around $77,000. Residents have moderate disposable income but are price-sensitive to transportation costs.","The area has significant retail and entertainment spending, with many local businesses, restaurants, and shopping districts. Residents generally have good discretionary spending power but are value-conscious.","Well-served by CTA Brown Line, multiple bus routes, and major arterial roads. High transit usage (40%+ commuters), significant walking/biking, but also considerable car ownership. Good mix of transportation options.","1. Prioritize balanced policies that maintain good transit service while keeping costs moderate for both transit and driving users. 2. Favor proposals with moderate sales tax (1%) as community has retail spending but wants to maintain local business vitality. 3. Support modest driver fees to reduce congestion but avoid highest fees that could hurt local businesses. 4. Look for proposals that improve transit times without excessive fare increases. 5. Selected proposals 13, 10, 4, 14, and 16 as they offer good transit time improvements with moderate cost impacts across all modes.","[13, 10, 4, 14, 16]",13,10,4,14,16
North Center,"North Center is an affluent area with median household income around $110,000, significantly above Chicago's average. Residents have relatively high disposable income and can generally afford higher transportation costs","Area has high discretionary spending power, with many residents spending on dining, entertainment, and retail. Higher sales tax would have moderate impact but not severely constrain spending habits","Well-served by Brown Line, multiple bus routes, and major arterial roads. 71% of residents commute by car, 21% by transit. Area has good transportation options and infrastructure for both modes","1. Given high income levels, prioritize time savings over cost savings. 2. Support policies that improve both transit and driving times since area uses both modes significantly. 3. Can absorb higher taxes/fees for better service. 4. Higher driver fees acceptable to reduce congestion. 5. Moderate transit fares to maintain ridership. Selected policies balance service improvements with reasonable cost increases, focusing on proposals with 1.0-1.5% tax rates that generate revenue for system improvements while maintaining affordability","[14, 23, 17, 13, 22]",14,23,17,13,22
Lake View,"Lake View is an affluent area with median household income around $90,000. Residents have relatively high disposable income and can generally afford higher transportation costs. Many residents work in professional services and have stable incomes.","The area has high discretionary spending power, with numerous restaurants, entertainment venues, and retail shops. Residents frequently engage in recreational activities and dining out. Higher sales taxes would have a moderate but not severe impact on consumption patterns.","Lake View has excellent transit access with multiple L lines (Red, Brown, Purple) and numerous bus routes. High walkability score and bike-friendly infrastructure. Many residents commute to downtown. Car ownership is lower than city average due to good transit options and parking challenges.","1. Prioritize policies that improve transit service given high transit usage in area
2. Higher income means community can tolerate moderate fare/fee increases if service improves
3. Support driving fees to reduce congestion on busy arterials
4. Balance tax burden against service improvements
5. Focus on options that reduce transit travel times most significantly
6. Selected proposals 26, 23, 14, 20, and 11 as they offer best transit time improvements while maintaining reasonable fare levels","[26, 23, 14, 20, 11]",26,23,14,20,11
Lincoln Park,"Lincoln Park is one of Chicago's most affluent neighborhoods with median household income over $115,000. Residents have high disposable income and can generally afford higher transportation costs","High levels of discretionary spending on retail, dining, and entertainment. The community has significant retail corridors and residents tend to make frequent trips for shopping and leisure activities","Well-served by public transit with multiple L stations (Red/Brown/Purple lines) and bus routes. High car ownership rates but also high transit usage. Dense, walkable neighborhood with many destinations accessible by multiple modes","1. Given high incomes, can tolerate higher fees/taxes to fund better service. 2. Many residents use both cars and transit, so balanced improvements to both modes are valuable. 3. Higher driver fees acceptable as they reduce congestion in dense area. 4. Prefer options that significantly improve transit times without extreme fare increases. 5. Selected proposals that balance service improvements with moderate cost increases across modes. Ranked based on overall time savings and reasonable cost structure","[23, 14, 20, 11, 5]",23,14,20,11,5
Near North Side,"Near North Side has one of the highest median household incomes in Chicago (over $100,000). Residents have significant disposable income and can generally afford higher transportation costs","High levels of discretionary spending, with numerous luxury retail, dining, and entertainment venues. Residents typically spend more on goods/services, meaning sales tax impact is higher in absolute terms","Excellent transit access with multiple L lines, bus routes, and walkable streets. High car ownership but also high transit usage due to density and connectivity. Major employment/entertainment destination with significant traffic congestion","1. Given high incomes, can tolerate higher fees/taxes to improve service. 2. Heavy congestion means driving fees could significantly improve travel times. 3. Strong transit infrastructure means improvements will be widely utilized. 4. Dense mixed-use area benefits from reduced car traffic. 5. Higher transit fares acceptable given income levels if they improve service. Selected policies that balance congestion reduction through driving fees with transit improvements funded by moderate-to-high taxes and fares","[23, 14, 26, 17, 8]",23,14,26,17,8
Edison Park,"Edison Park is an affluent community with median household income around $94,000, well above Chicago average. Residents have relatively high disposable income and can generally afford higher transportation costs",High levels of discretionary spending power. Most households own cars and have significant retail spending. Higher sales taxes would have moderate but manageable impact on consumption,"Located on far northwest side, relatively car-dependent area with longer commute times to downtown. Has Metra station but limited CTA bus service. Most residents (80%+) commute by car. Good road access via I-90 and major arterials","1. Given high car dependency and income levels, policies with moderate driving fees are acceptable if they reduce congestion
2. Higher sales tax is tolerable given affluence, if it improves transit
3. Moderate transit fares preferred since most residents drive anyway
4. Prioritize proposals that reduce car travel times given heavy car usage
5. Balance between driving costs and congestion reduction is key for this car-centric community","[14, 5, 23, 13, 4]",14,5,23,13,4
Norwood Park,"Norwood Park is an upper-middle-class area with median household income around $82,000. Residents have relatively high disposable income and car ownership rates. Many households can afford multiple vehicles.",Residents have significant discretionary spending capacity. The area has high rates of homeownership and retail spending. A sales tax increase would have moderate but manageable impact on household budgets.,"The area is served by the Blue Line and Metra, but many residents rely heavily on cars. The community is more car-dependent than inner city areas, with longer average commute times. Good road access but moderate transit coverage.","1. As a car-dependent community with higher incomes, policies with lower sales tax are preferred to preserve discretionary spending
2. Moderate driving fees are acceptable as residents can afford them and they improve transit
3. Higher transit fares are acceptable since most residents drive and higher fares fund better service
4. Focus on policies that reduce car travel times while maintaining reasonable transit options
5. Balance between maintaining car convenience and supporting transit improvements","[5, 4, 8, 7, 14]",5,4,8,7,14
