community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Rogers Park,"Rogers Park has a median income of $57,591, with 44.8% of households earning less than $50,000 annually. This suggests many residents have limited disposable income and would be sensitive to increased transportation costs.","Given the income distribution and cost of living in Chicago, many Rogers Park residents likely have modest discretionary spending capacity. Higher sales taxes would notably impact their purchasing power.","The community has high transit usage (28.1%) and low car ownership (37.2% have no vehicle). The area is served by CTA Red Line and multiple bus routes, making transit accessibility crucial for residents.",1. Prioritized lower transit fares ($0.75) given high transit dependency and lower incomes. 2. Favored moderate driving fees ($0.50-$1.00) to improve transit service without excessive burden. 3. Selected lower sales tax rates (0.5-1.0%) to protect discretionary spending. 4. Balanced travel time improvements with cost impacts. 5. Considered that 39.3% drive alone and need reasonable driving costs.,"[1, 2, 10, 11, 4]",1,2,10,11,4
West Ridge,"Mixed-income community with median household income of $68,091. About 37.4% households earn less than $50,000, while 32.5% earn over $100,000. Per capita income is $32,132, suggesting moderate disposable income levels.","Given the income distribution and average household size of 2.9, many families likely have limited discretionary spending. Higher sales taxes and transportation costs would significantly impact the 37.4% lower-income households.","59.2% drive alone and 10% carpool, showing high car dependency. 12.5% use transit and 13.3% have no vehicle. Good balance of transportation options needed. Most households (46%) have one vehicle.",1. Prioritize lower sales tax (0.5%) to protect discretionary spending for large lower/middle-income population. 2. Moderate transit fares ($1.25) to maintain service quality while keeping transit affordable. 3. Include some driving fees to reduce congestion and fund transit improvements. 4. Balance travel times between modes to serve both drivers and transit users. 5. Consider proposals that minimize total transportation costs for mixed-income population.,"[4, 1, 13, 3, 10]",4,1,13,3,10
Uptown,"Mixed income levels with 38.6% earning under $50k and 31% earning over $100k. Median income of $66,871 suggests moderate disposable income, but significant income disparity exists","Given the high percentage of lower-income households (23.2% under $25k), many residents are sensitive to additional taxes and fees. Higher-income households have more flexibility with transportation costs",Strong transit usage (34.9% commute by transit) and high percentage of car-free households (42.1%). Good transit access with multiple bus and rail options. Only 32.5% drive alone to work,"1. Prioritize lower transit fares due to high transit dependency and lower-income population
2. Moderate tax rates to balance service improvements with cost burden
3. Support driving fees to fund transit while affecting minority of residents who drive
4. Focus on proposals that reduce transit travel time
5. Consider proposals that maintain reasonable car travel times for mixed-mode households","[20, 11, 19, 2, 1]",20,11,19,2,1
Lincoln Square,"Lincoln Square has a relatively high median income of $90,569, with 45.2% of households earning over $100,000. However, there's income diversity with 25.7% earning under $50,000, suggesting varying levels of disposable income across the community","With a per capita income of $57,351, residents have moderate to high discretionary spending power. The community can generally absorb moderate transportation costs, but increased taxes would impact discretionary spending, especially for lower-income households","The area shows diverse transportation usage: 26% use transit, 39.1% drive alone, and 21.6% have no vehicle. Good mix of transit and driving accessibility, with 74.5% of households having at least one car","1. Prioritized balanced policies that maintain transit affordability while improving service quality, considering the significant transit-dependent population. 2. Considered the impact of sales tax on discretionary spending, favoring lower tax rates. 3. Supported moderate driving fees to reduce congestion and fund transit, given the high car ownership. 4. Balanced travel time improvements with cost impacts, considering the mixed-mode usage. 5. Factored in the community's ability to absorb higher costs while protecting lower-income residents","[11, 13, 4, 10, 1]",11,13,4,10,1
North Center,"North Center is an affluent area with median income of $148,585 and 67.4% of households earning over $100,000. This suggests residents have significant disposable income and can generally afford higher transportation costs","With high incomes, residents likely have substantial discretionary spending. A sales tax increase would impact this but would be relatively manageable given the wealth levels. Annual consumption is likely high, making sales tax a notable consideration","The area has good transportation options with 87.4% of households having at least one vehicle and 20% using transit for commuting. 29.2% work from home, reducing daily transportation needs. The area is well-served by both driving and transit infrastructure","1. Given high incomes, prioritize time savings over cost savings. 2. Consider balanced approach between transit and driving given mixed mode usage. 3. Higher sales tax is acceptable given income levels if it improves service. 4. Look for proposals that reduce both transit and driving times. 5. Moderate fare increases are acceptable if they improve service quality. Selected proposals that optimize travel times while keeping costs reasonable given the area's affluence","[23, 14, 26, 20, 11]",23,14,26,20,11
Lake View,"Lake View is a relatively affluent area with median income of $100,625 and 50.2% of households making over $100,000. This suggests residents have higher disposable income and can better absorb transportation costs compared to other areas.","With high per capita income ($87,044), residents likely have significant discretionary spending. However, the high cost of living in Lake View means transportation costs still impact overall consumption patterns.","The area has excellent transit access with 36.9% using transit for commuting. 39.6% of households don't own vehicles, indicating strong transit dependency. The high density and mixed-use nature of Lake View makes both transit and driving viable options.",1. Prioritized policies that improve transit times given high transit usage (36.9%) and car-free households (39.6%). 2. Moderate fare increases acceptable given higher incomes. 3. Support for driving fees to fund transit improvements since only 24.8% drive alone. 4. Higher sales tax tolerable due to higher disposable incomes. 5. Balanced approach considering both transit and driving improvements since area has mixed transportation needs.,"[26, 23, 14, 20, 11]",26,23,14,20,11
Lincoln Park,"Lincoln Park is an affluent area with median household income of $134,277 and 61.3% of households earning over $100,000. This suggests residents have significant disposable income and can generally afford higher transportation costs","With high per capita income ($109,538), residents likely have substantial discretionary spending. While sensitive to costs, they may prioritize time savings and service quality over minimal fee increases","The area has high transit usage (33.4%) and low car dependency (32.3% no vehicle, 47.8% one vehicle). Good mix of transportation options with significant walk/bike share (9.3%). Many residents use multiple modes","1. Prioritized policies that improve transit times while maintaining reasonable fares, given high transit usage. 2. Considered that many residents can absorb moderate cost increases. 3. Favored balanced approaches with moderate taxes and fees that improve both transit and driving times. 4. Selected options that encourage sustainable transport while not overly penalizing necessary car trips. 5. Weighted time savings more heavily than cost savings given high income levels","[23, 14, 20, 11, 5]",23,14,20,11,5
Near North Side,"The Near North Side is a relatively wealthy area with median income of $121,562 and 58.8% of households making over $100,000. This suggests residents have significant disposable income and can absorb moderate increases in transportation costs","With high per capita income ($118,674), residents likely have substantial discretionary spending. A higher sales tax would impact this spending, but the community can generally handle it better than lower-income areas","The area has excellent transit access and high walkability, reflected in low car ownership (45.6% no vehicle) and diverse travel modes (18.9% transit, 27.6% walk/bike). Many residents don't rely on cars for daily travel","1. Given high incomes and low car dependency, policies that improve transit service while discouraging driving align with community needs. 2. Higher driver fees are acceptable as fewer residents drive regularly. 3. Moderate transit fares are preferred to maintain accessibility. 4. Can accept higher sales tax given income levels. 5. Prioritized proposals that significantly reduce transit travel times while maintaining reasonable fares","[23, 14, 20, 11, 4]",23,14,20,11,4
Edison Park,"Edison Park is a relatively affluent community with median income of $120,024 and 59.4% of households earning over $100,000. This suggests residents have significant disposable income and can absorb moderate transportation cost increases","With high per capita income ($57,872), residents likely have substantial discretionary spending. A sales tax increase would affect this spending, but impact would be manageable given income levels","Car-centric community with 93.5% of households owning at least one vehicle and 69.1% driving alone to work. Only 8.4% use transit, suggesting good road access but limited transit dependence","1. Given high car ownership and usage, prioritize policies that improve driving times while keeping driving costs reasonable. 2. Community can afford moderate fee increases given high incomes. 3. Lower priority on transit improvements due to low usage. 4. Moderate sales tax preferred over high to preserve discretionary spending. 5. Balance between travel time savings and cost increases needed","[14, 5, 13, 4, 11]",14,5,13,4,11
Norwood Park,"Norwood Park is relatively affluent with median household income of $107,122 and per capita income of $49,303. About 53.4% of households earn over $100,000 annually, suggesting significant disposable income compared to other Chicago communities","With higher incomes, residents have more flexibility to absorb transportation costs. The community shows high car ownership (92.3% of households have at least one vehicle) and significant discretionary spending power","The area heavily relies on cars with 71.1% driving alone to work and only 7.3% using transit. Most households (56.8%) have 2+ vehicles, indicating car-dependency and potentially limited transit access","1. Given high car usage, policies reducing car travel time are priority. 2. Higher income means community can tolerate some cost increases if they reduce congestion. 3. While transit usage is low, improving transit service could benefit the 7.7% no-car households. 4. Moderate tax increase acceptable if it significantly improves transportation. 5. Driving fees more acceptable than high transit fares given income levels and car dependency","[14, 23, 5, 11, 20]",14,23,5,11,20
