community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Rogers Park,"Rogers Park has a median income of $57,591, with 44.8% of households earning less than $50,000 annually. This suggests many residents have limited disposable income and would be sensitive to increased transportation costs.","Given the income distribution and cost of living in Chicago, many Rogers Park residents likely have modest discretionary spending capacity. Higher sales taxes would notably impact household budgets, especially for lower-income residents.","The community has high transit usage (28.1%) and low car ownership (37.2% have no vehicle). The area is served by CTA Red Line and multiple bus routes, making transit accessibility crucial. Many residents rely on public transportation for daily commuting.",1. Prioritized policies that keep transit fares low ($0.75) given high transit dependency and lower incomes. 2. Favored moderate driving fees ($0.50) to improve transit service without excessive burden. 3. Selected lower sales tax rates (0.5-1.0%) to protect discretionary spending. 4. Balanced travel time improvements with cost impacts. 5. Considered high proportion of car-free households and transit commuters.,"[1, 10, 19, 4, 13]",1,10,19,4,13
West Ridge,"Mixed income levels with median household income of $68,091. 37.4% households earn less than $50,000, while 32.5% earn over $100,000. Per capita income is $32,132, suggesting moderate disposable income overall.","Given the income distribution and average household size of 2.9, many families likely have limited discretionary spending. Higher taxes and fees would impact the 37.4% lower-income households more significantly.","59.2% drive alone and 10% carpool, while 12.5% use transit. 13.3% have no vehicle, making transit essential. Good mix of transportation needs with 86.6% having at least one vehicle but significant transit dependency.","1. Prioritize lower sales tax (0.5%) to protect discretionary spending for mixed-income population. 2. Moderate transit fares ($1.25) to maintain service quality while keeping transit affordable. 3. Include some driving fees to improve transit service and reduce congestion, but not highest level. 4. Balance travel times for both drivers and transit users given mixed transportation needs. 5. Consider proposals that reduce transit travel times below current 58.8 minutes.","[4, 13, 5, 22, 14]",4,13,5,22,14
Uptown,"Mixed income levels with 38.6% earning under $50k and 31% earning over $100k. Median income of $66,871 suggests moderate disposable income, but significant income disparity exists","Given the high percentage of lower-income households (23.2% under $25k), many residents are sensitive to additional taxes and fees. Higher-income households have more flexibility with transportation costs",Strong transit usage (34.9% commute by transit) and high percentage of car-free households (42.1%). Good transit access with multiple bus and rail options. Only 32.5% drive alone to work,1. Prioritize lower transit fares due to high transit dependency and lower-income population. 2. Moderate tax rate to maintain service quality without overly burdening residents. 3. Support driving fees to improve transit service and reduce congestion. 4. Balance travel time improvements with cost impacts. 5. Consider equity impacts on mixed-income population,"[11, 10, 13, 19, 20]",11,10,13,19,20
Lincoln Square,"Lincoln Square has a relatively high median income of $90,569, with 45.2% of households earning over $100,000. However, there's income diversity with 25.7% earning under $50,000, suggesting varying levels of disposable income across the community","With a per capita income of $57,351, residents have moderate to high discretionary spending power. The community can generally absorb moderate transportation costs, but increased taxes would impact discretionary spending, especially for lower-income households","The area shows diverse transportation usage: 39.1% drive alone, 26% use transit, and 21.6% have no vehicle. Good mix of transit and driving accessibility, with 74.5% of households having at least one car","1. Prioritized balanced policies that maintain reasonable transit fares while improving service
2. Considered the significant transit-dependent population (21.6% no vehicle)
3. Sought to minimize impact on lower-income households while maintaining service quality
4. Selected policies that reduce travel times for both transit and cars
5. Balanced the tax burden against service improvements
6. Favored proposals that encourage transit use while not overly penalizing necessary car use","[13, 4, 22, 10, 19]",13,4,22,10,19
North Center,"North Center is an affluent area with median income of $148,585 and 67.4% of households earning over $100,000. This suggests residents have significant disposable income and can generally absorb higher transportation costs","With high per capita income ($88,926), residents likely have substantial discretionary spending. A sales tax increase would impact this but may be tolerable given the wealth levels. Annual consumption is likely high, making sales tax a meaningful consideration","The area has good transportation mix - 38.6% drive alone, 20% use transit, and 29.2% work from home. 87.4% of households have at least one vehicle, showing car dependency, but transit usage is significant. This suggests residents value both driving and transit options","1. Given high incomes, prioritize time savings over cost savings. 2. Consider balance between driving and transit improvements since both are heavily used. 3. Higher sales tax is acceptable if it improves service significantly. 4. Moderate driving fees can help fund transit without excessive burden. 5. Selected proposals that reduce both driving and transit times while keeping costs reasonable for mixed-mode community","[23, 14, 5, 20, 11]",23,14,5,20,11
Lake View,"Lake View is a relatively affluent area with median income of $100,625 and 50.2% of households making over $100,000. This suggests residents have higher disposable income and can better absorb transportation costs compared to other areas.","With high per capita income ($87,044), residents likely have significant discretionary spending. The 1-1.5% sales tax impact would be notable given higher consumption levels, but not severely restrictive for most residents.","The area has excellent transit access with 36.9% using transit for commuting. 39.6% of households don't own vehicles, indicating strong transit dependency. However, 24.8% drive alone, suggesting need to balance both modes.","1. Given high transit usage and car-free households, prioritized proposals that improve transit times while keeping fares moderate. 2. Higher driving fees acceptable given affluence and lower car ownership. 3. Moderate sales tax preferred to balance revenue needs with consumption impact. 4. Proposals with best transit time improvements ranked higher. 5. Balanced approach considering both transit and driving needs given mixed modal split.","[23, 14, 20, 11, 4]",23,14,20,11,4
Lincoln Park,"Lincoln Park is an affluent area with median household income of $134,277 and 61.3% of households making over $100,000. This suggests residents have significant disposable income and can absorb moderate increases in transportation costs","With high per capita income ($109,538), residents likely have substantial discretionary spending. A sales tax increase would affect this but would be manageable given the wealth levels","The area has high transit usage (33.4%) and low car dependency (32.3% no vehicle, 47.8% one vehicle). Good mix of transportation options with significant walk/bike share (9.3%). Many residents work from home (24%)","1. Given high transit usage and income levels, policies that improve transit service while moderately increasing costs are preferred. 2. Higher driver fees are acceptable as most residents don't rely heavily on cars. 3. Sales tax increases can be absorbed given high discretionary income. 4. Prioritized proposals that reduce transit travel times significantly. 5. Balanced improved service with moderate cost increases since many residents use multiple modes","[23, 26, 14, 20, 11]",23,26,14,20,11
Near North Side,"High disposable income with median household income of $121,562 and 58.8% of households making over $100,000. This suggests residents can generally absorb higher transportation costs and taxes",High discretionary spending capacity given the affluent population. The 1.5% tax would impact larger purchases but is manageable for most residents given their income levels,"Excellent multi-modal accessibility with 45.6% no-car households, high transit usage (18.9%), and significant walk/bike share (27.6%). Area has good transit infrastructure and walkability",1. Prioritized policies that improve transit times while maintaining reasonable fares given the high transit usage. 2. Higher driving fees acceptable as most residents can afford it and it will reduce congestion. 3. Higher tax rates acceptable given high incomes and benefits to transit service. 4. Balanced improvement of both transit and driving times as area has mix of both modes. 5. Considered that many residents walk/bike so general mobility improvements beneficial,"[26, 23, 20, 14, 11]",26,23,20,14,11
Edison Park,"Edison Park is a relatively affluent community with median income of $120,024 and 59.4% of households earning over $100,000. This suggests residents have significant disposable income and can absorb moderate transportation cost increases","With high per capita income ($57,872), residents likely have substantial discretionary spending. A sales tax increase would impact this spending, but the community can likely handle it better than lower-income areas","The community is heavily car-dependent with 93.5% of households owning at least one vehicle and 69.1% driving alone to work. Only 8.4% use transit, suggesting good road access but limited transit reliance","1. Given high car ownership and usage, policies that reduce car travel time are priority. 2. Community can absorb moderate fee increases given high incomes. 3. Lower transit usage means transit improvements less critical. 4. Moderate tax increase acceptable if it significantly improves driving conditions. 5. Prefer balanced approaches that don't extremely burden drivers while still improving overall system","[14, 5, 23, 11, 20]",14,5,23,11,20
Norwood Park,"Norwood Park is relatively affluent with median household income of $107,122 and per capita income of $49,303. About 53.4% of households earn over $100,000 annually, suggesting significant disposable income","With higher incomes, residents have substantial discretionary spending power. The impact of sales tax (0.5-1.5%) would be noticeable but manageable given the income levels. Most households can afford vehicle-related expenses, as shown by 92.3% having at least one car",The area is heavily car-dependent with 71.1% driving alone to work and only 7.3% using transit. High car ownership (56.8% having 2+ vehicles) suggests good road access is crucial. Transit usage is low but should be maintained for the 7.7% of households without vehicles,"1. Given high car dependency, prefer policies with lower driving fees but reasonable transit service. 2. Higher income means moderate sales tax is acceptable if it improves overall transportation. 3. Focus on reducing car travel times since majority drive. 4. Maintain reasonable transit fares for lower-income residents. 5. Balance between minimizing costs for drivers while maintaining transit quality","[3, 0, 9, 12, 15]",3,0,9,12,15
