community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Rogers Park,"Rogers Park has a median income of $57,591, with 44.8% of households earning less than $50,000 annually. This suggests many residents have limited disposable income and would be sensitive to increased transportation costs.","Given the income distribution and cost of living in Chicago, many Rogers Park residents likely have modest discretionary spending capacity. Higher sales taxes would notably impact their purchasing power.","The community has high transit usage (28.1%) and low car ownership (37.2% have no vehicle). The area is served by CTA Red Line and multiple bus routes, making transit accessibility crucial for residents.",1. Prioritized lower transit fares ($0.75) given high transit dependency and lower incomes. 2. Favored moderate driving fees ($0.50-$1.00) to improve transit service without excessive burden. 3. Selected lower sales tax rates (0.5-1.0%) to protect discretionary spending. 4. Balanced travel time improvements with cost impacts. 5. Considered that 39.3% drive alone and need reasonable driving costs.,"[1, 2, 10, 11, 4]",1,2,10,11,4
West Ridge,"Mixed income levels with median household income of $68,091. 37.4% households earn less than $50,000, while 32.5% earn over $100,000. Per capita income is $32,132, suggesting moderate disposable income overall.","Given the income distribution and household sizes (average 2.9 people), many families likely have limited discretionary spending. Higher taxes and fees would impact the 37.4% lower-income households more significantly.","59.2% drive alone and 10% carpool, while 12.5% use transit. 13.3% have no vehicle, making transit essential. Good mix of transportation needs with 86.6% having at least one vehicle but significant transit dependency.","1. Prioritize lower sales tax (0.5%) to protect discretionary spending for mixed-income population. 2. Moderate transit fares ($1.25) to maintain service while keeping transit affordable for 13.3% car-less households. 3. Include some driving fees to improve transit service and reduce congestion, but not highest fees given high car dependency. 4. Balance travel times for both modes since community uses both significantly. 5. Consider proposals that reduce transit travel time from current 58.8 minutes.","[4, 5, 13, 14, 22]",4,5,13,14,22
Uptown,"Mixed income levels with 38.6% earning under $50k and 31% earning over $100k. Median income of $66,871 suggests moderate disposable income, but significant income disparity exists","Given the high percentage of lower-income households (23.2% under $25k) and high cost of living in Chicago, many residents have limited discretionary spending capacity. Higher sales taxes would particularly impact these households","Strong transit orientation with 34.9% using transit for work commute. 42.1% of households have no vehicle, indicating high transit dependency. Good existing transit access with multiple L lines and bus routes",1. Prioritized lower sales tax (0.5%) to protect discretionary spending power of large lower-income population. 2. Favored moderate transit fares ($1.25) to balance transit agency funding with affordability. 3. Supported driving fees to improve transit service while managing congestion. 4. Focused on proposals that reduce transit travel times given high transit dependency. 5. Considered balance of car vs transit times given mixed-mode usage in community,"[4, 5, 1, 2, 7]",4,5,1,2,7
Lincoln Square,"Lincoln Square has a relatively high median income of $90,569, with 45.2% of households earning over $100,000. However, there's income diversity with 25.7% earning under $50,000, suggesting varying levels of disposable income across the community","With a per capita income of $57,351, residents have moderate to high discretionary spending power. The community can generally absorb moderate transportation costs, but increased taxes would impact discretionary spending, especially for lower-income households","The area shows diverse transportation usage: 39.1% drive alone, 26% use transit, and 21.6% have no vehicle. Good transit access is important as 74.7% of households have 1 or no vehicle. The community needs balanced policies that serve both drivers and transit users","1. Prioritized policies that balance transit improvement with moderate cost burden, given the mixed-income population. 2. Considered the significant transit-dependent population (21.6% no vehicle). 3. Sought policies that reduce transit travel times without excessive fees, as 26% use transit. 4. Selected options with moderate tax rates to maintain service quality while preserving discretionary income. 5. Included policies that improve both driving and transit times to serve the diverse transportation needs","[13, 4, 22, 14, 23]",13,4,22,14,23
North Center,"North Center is an affluent area with median income of $148,585 and 67.4% of households earning over $100,000. This suggests residents have significant disposable income and can absorb moderate increases in transportation costs","With high per capita income ($88,926), residents likely have substantial discretionary spending. A sales tax increase would affect this but not severely given the wealth levels","The area has good transportation mix - 38.6% drive alone, 20% use transit, and 29.2% work from home. 87.4% of households own at least one car, showing good mobility options. This suggests residents can flexibly choose between driving and transit based on cost/time tradeoffs","1. Given high incomes, prioritize time savings over cost savings. 2. With significant transit usage, favor policies that improve transit times. 3. With high car ownership, moderate driving fees are acceptable if they reduce congestion. 4. Higher sales tax is tolerable given high discretionary spending. 5. Selected policies that balance car and transit improvements given mixed modal split. Ranked based on best overall time savings for both modes while keeping cost increases moderate","[23, 14, 20, 26, 11]",23,14,20,26,11
Lake View,"Lake View is a relatively affluent area with median income of $100,625 and 50.2% of households making over $100,000. This suggests residents have higher disposable income and can better absorb transportation costs compared to other areas.","With high per capita income ($87,044), residents likely have significant discretionary spending. However, the high cost of living in Lake View means careful consideration of additional taxes and fees is still important.","The area has excellent transit access with 36.9% using transit for commuting. 39.6% of households don't own vehicles, indicating strong transit dependency. However, 24.8% drive alone, showing the need to balance both modes.","1. Given high transit usage and car-free households, prioritized proposals that improve transit service while keeping fares moderate. 2. Higher tax rates are more tolerable given income levels. 3. Support driving fees to fund transit and reduce congestion since many residents don't drive. 4. Balanced improved transit times against increased costs. 5. Selected proposals that reduce both transit and driving times while maintaining reasonable fare levels.","[23, 14, 20, 11, 4]",23,14,20,11,4
Lincoln Park,"Lincoln Park is an affluent area with median household income of $134,277 and 61.3% of households earning over $100,000. This suggests residents have significant disposable income and can generally afford higher transportation costs","With high per capita income ($109,538), residents likely have substantial discretionary spending. The impact of sales tax increases (0.5-1.5%) would be noticeable but not severely burdensome given the wealth levels","The area has high transit usage (33.4%) and low car dependency (32.3% no vehicle, 47.8% one vehicle). Good mix of transportation options with significant walk/bike share (9.3%). This suggests strong transit infrastructure and multiple viable transportation choices","1. Prioritized policies that improve transit times while keeping fares moderate, given high transit usage. 2. Considered that higher driving fees are acceptable given wealth levels and could fund better transit. 3. Moderate sales tax increase acceptable given high discretionary income. 4. Focused on proposals that reduce both transit and driving times to benefit all residents. 5. Selected policies that encourage sustainable transport while maintaining choice flexibility","[23, 14, 20, 11, 5]",23,14,20,11,5
Near North Side,"High disposable income with median household income of $121,562 and 58.8% of households making over $100,000. This suggests residents can generally absorb higher transportation costs and taxes",High discretionary spending capacity given the affluent population. The 1.5% tax would impact larger purchases but is manageable for most residents given their income levels,"Excellent multi-modal accessibility with 45.6% no-car households, high transit usage (18.9%), and significant walk/bike share (27.6%). Area has good transit infrastructure and many residents rely on non-car transportation","1. Given high income levels, prioritized policies that improve transit service and reduce congestion even if costs are higher. 2. Large car-free population benefits from better transit service. 3. High walking/biking share suggests support for policies reducing car traffic. 4. Selected policies balancing higher driver fees (to reduce congestion) with moderate-to-higher transit fares (as affordability less critical). 5. Higher tax rates acceptable given income levels and benefits of improved service","[26, 23, 20, 14, 11]",26,23,20,14,11
Edison Park,"Edison Park is a relatively affluent community with median income of $120,024 and 59.4% of households earning over $100,000. This suggests residents have significant disposable income and can absorb moderate transportation cost increases","With high per capita income ($57,872), residents likely have substantial discretionary spending. However, the 22.6% of households earning under $50,000 need to be considered in policy impacts","The community is heavily car-dependent with 93.5% of households owning cars and 74.9% driving for commuting. Only 8.4% use transit, suggesting limited transit accessibility or preference for driving","1. Given high car ownership and usage, policies that improve driving times without excessive fees are preferred. 2. Higher sales tax is acceptable given high disposable incomes to fund transit improvements. 3. Moderate transit fares to support system while keeping transit affordable for lower-income residents. 4. Balance between driving efficiency and transit improvement needed. 5. Policies that significantly reduce both driving and transit times are valued","[14, 23, 5, 13, 4]",14,23,5,13,4
Norwood Park,"Norwood Park is relatively affluent with median household income of $107,122 and per capita income of $49,303. About 53.4% of households earn over $100,000 annually, suggesting significant disposable income","With higher incomes, residents have substantial discretionary spending power. The impact of sales tax (0.5-1.5%) would be noticeable but manageable given the income levels. Most households can afford vehicle-related expenses, as shown by 92.3% having at least one car",The area is heavily car-dependent with 71.1% driving alone to work and only 7.3% using transit. High car ownership (56.8% having 2+ vehicles) suggests good road access is crucial. Transit usage is low but should be maintained as an option for the 7.7% without vehicles,"1. Given high car dependency, prefer policies with lower driving fees and reasonable travel times. 2. Can tolerate moderate sales tax given income levels. 3. Higher transit fares acceptable since few use transit and incomes can support it. 4. Balance needed between maintaining car convenience and supporting basic transit service. 5. Prioritize options that minimize congestion given high car usage","[3, 0, 6, 9, 12]",3,0,6,9,12
