community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Rogers Park,"Rogers Park has a median household income of around $47,000, lower than Chicago's median. About 27% of residents live below poverty level. Many residents are cost-sensitive and need to carefully manage transportation expenses.",Limited discretionary spending capacity due to lower income levels. Many residents are students or working-class families who need to balance basic needs with transportation costs. Higher sales taxes would notably impact household budgets.,"High transit accessibility with Red Line L station and multiple bus routes. About 35% of households don't own cars. Many residents rely on public transit for commuting to work/school. Walking and biking are common due to dense, walkable neighborhood layout.","1. Prioritize low transit fares due to high transit dependency and lower incomes. 2. Moderate sales tax to maintain service quality while not overly burdening limited discretionary spending. 3. Support some driving fees to improve transit service and reduce congestion, but not highest level due to needed car access for some residents. 4. Balance between transit time improvements and cost burden. 5. Selected proposals that reduce transit travel times while keeping fares affordable.","[10, 11, 9, 1, 2]",10,11,9,1,2
West Ridge,"West Ridge has a mixed-income population with median household income around $54,000. About 18% of residents live below poverty level. Many residents are price-sensitive to transportation costs.",Moderate levels of discretionary spending. The community has significant immigrant populations who tend to be cost-conscious. Many households need to carefully budget transportation expenses.,Good bus service along major arterials but limited rail access. About 30% of households don't own cars and rely on transit. Many residents commute to jobs downtown and other parts of the city. Walking access to local shopping districts on Devon and Western.,1. Prioritize lower transit fares ($0.75) to help transit-dependent residents while maintaining service quality. 2. Moderate tax rate (1%) balances revenue needs with household budgets. 3. Support modest driving fees ($0.50-$1.00) to reduce congestion and fund transit without overly burdening drivers. 4. Focus on proposals that reduce transit travel times to help commuters. 5. Consider proposals that maintain reasonable driving costs for car-dependent households while encouraging transit use.,"[11, 10, 20, 19, 2]",11,10,20,19,2
Uptown,"Uptown has a mixed-income population with median household income around $53,000. About 23% of residents live below poverty level. Many residents are cost-sensitive and rely on public transportation.","Given the income levels, many residents have limited discretionary spending. Higher sales taxes would impact household budgets significantly. The area has many renters and working-class families who need to carefully manage transportation costs.","Uptown has excellent transit access with Red Line L, multiple bus routes, and is relatively walkable. About 35% of households don't own cars. The area has high transit usage for commuting. Many residents rely on transit to access jobs downtown and other areas.",1. Prioritize low transit fares and moderate taxes given income constraints and high transit reliance. 2. Support some driving fees to improve transit service and reduce congestion. 3. Balance between transit improvement and cost burden. 4. Consider proposals that reduce transit travel times. 5. Favor options that maintain transit affordability while generating revenue for service improvements. Selected proposals optimize these factors while keeping costs manageable for lower-income residents.,"[10, 11, 1, 19, 20]",10,11,1,19,20
Lincoln Square,"Lincoln Square is a middle to upper-middle income area with median household income around $77,000. Residents have moderate disposable income but are price-sensitive to transportation costs.","The area has significant retail and entertainment spending, with many local businesses, restaurants and shops. Residents generally have good discretionary spending power but are value-conscious.","Well-served by CTA Brown Line and multiple bus routes. Good walkability and bikeability. Many residents commute downtown for work. Mix of transit users and drivers, with about 35% using public transit for commuting.",1. Prioritize balanced policies that maintain good transit service while keeping costs moderate for both transit users and drivers. 2. Lower transit fares ($0.75-$1.25) preferred given significant transit usage. 3. Moderate driving fees ($0.50) acceptable to reduce congestion while not overly burdening drivers. 4. Moderate tax rates (1%) to support transit without excessive burden. 5. Selected proposals that reduce transit travel times to 51-55 minutes while maintaining reasonable driving times.,"[13, 10, 4, 19, 22]",13,10,4,19,22
North Center,"North Center is an affluent area with median household income around $110,000, significantly above Chicago's average. Residents have relatively high disposable income and can generally afford higher transportation costs","Area has high discretionary spending power, with many residents spending on dining, entertainment, and retail. Higher sales tax would have moderate impact but not severely constrain spending habits","Well-served by Brown Line, multiple bus routes, and major arterial roads. 71% of residents commute by car, 21% by transit. Area has good transportation options and infrastructure for both modes","1. Given high income levels, prioritize time savings over cost sensitivity. 2. Support policies that improve both transit and driving times since area uses both modes significantly. 3. Can absorb higher taxes/fees for better service. 4. Higher driver fees acceptable to reduce congestion. 5. Moderate transit fares to maintain ridership. Selected policies balance these factors while delivering good time savings for both modes","[23, 14, 20, 11, 5]",23,14,20,11,5
Lake View,"Lake View is an affluent area with median household income around $90,000. Residents have relatively high disposable income and can generally afford higher transportation costs. Many residents work in professional services and have stable incomes.","The area has high discretionary spending power, with numerous restaurants, entertainment venues, and retail shops. Residents frequently engage in recreational activities and dining out. Higher sales taxes would have a moderate but not severe impact on consumption patterns.","Lake View has excellent transit access with multiple L lines (Red, Brown, Purple) and numerous bus routes. High walkability score and bike-friendly infrastructure. Many residents commute to downtown. Car ownership is lower than city average, with many households being car-free by choice.",1. Prioritize policies that improve transit service given high transit usage in area. 2. Higher income means community can tolerate some fare/tax increases if they lead to better service. 3. Support driving fees to reduce congestion and fund transit since many residents don't drive. 4. Balance between service improvements and cost increases since many young professionals are price-sensitive. 5. Favor policies that reduce transit travel times most significantly since many residents rely on transit for commuting.,"[26, 23, 20, 14, 11]",26,23,20,14,11
Lincoln Park,"Lincoln Park is one of Chicago's most affluent neighborhoods with median household income over $115,000. Residents have high disposable income and can generally afford higher transportation costs","High levels of discretionary spending on retail, dining, and entertainment. The community has significant retail corridors and residents tend to make frequent trips for shopping and leisure activities",Well-served by public transit with multiple L stations (Red/Brown/Purple lines) and bus routes. High car ownership rates but also high walkability and bikeability. Many residents commute downtown for work,"1. Given high incomes, can tolerate higher fees/taxes to fund better service. 2. Many residents use both transit and cars, so balanced approach needed. 3. Reducing congestion important given density and retail corridors. 4. Higher driver fees acceptable to encourage transit use. 5. Prefer moderate-to-high tax rates to fund transit improvements. 6. Selected policies that reduce transit times while keeping reasonable fares. 7. Ranked proposals prioritizing overall system efficiency over lowest costs","[23, 14, 20, 11, 5]",23,14,20,11,5
Near North Side,"Near North Side has one of the highest median household incomes in Chicago (over $100,000). Residents have significant disposable income and can generally afford higher transportation costs","High levels of discretionary spending, with numerous luxury retail, dining, and entertainment venues. Residents typically spend more on goods/services, so sales tax impact is notable but manageable","Excellent transit access with multiple L lines, bus routes, and walkable streets. High car ownership but also heavy traffic congestion. Many residents use mix of transit and driving depending on destination","1. Given high income levels, prioritize time savings over cost sensitivity. 2. Support better transit service through moderate fees/taxes since many residents use both modes. 3. Favor balanced proposals that improve both transit and driving times. 4. Consider higher driver fees to reduce congestion in dense area. 5. Moderate sales tax acceptable given spending patterns. Selected proposals that optimize travel times while maintaining reasonable fees","[14, 23, 5, 17, 8]",14,23,5,17,8
Edison Park,"Edison Park is an affluent community with median household income around $87,000, significantly higher than Chicago's average. Most residents are middle to upper-middle class with good disposable income","Residents have substantial discretionary spending power, with higher than average retail spending. The community can generally absorb moderate increases in transportation costs without severe impact on quality of life","Located at city's far northwest edge, heavily car-dependent with 89% of households owning vehicles. Has Metra station but limited CTA bus service. Most residents drive to work with average commute times of 35-40 minutes. Good road access to expressways","1. Given high car dependency and income levels, policies with moderate driving fees are acceptable if they reduce congestion
2. Higher sales tax is less impactful due to good income levels, if it improves transit
3. Transit fare less critical since fewer residents rely on transit
4. Prioritize policies that significantly reduce driving times
5. Balance between driving costs and time savings important for car-dependent population","[14, 23, 5, 17, 8]",14,23,5,17,8
Norwood Park,"Norwood Park is an upper-middle-class area with median household income around $82,000. Residents have relatively high disposable income and car ownership rates. Many households can afford higher transportation costs without severe budget constraints.","The area has significant discretionary spending capacity. Residents generally prioritize convenience and time savings over minor cost increases. The 1-1.5% sales tax impact on $82,000 income ($820-1230 annually) is manageable for most households.","The area is car-dependent with good road access but limited transit options. The Blue Line terminus is at the edge of the community, and bus service is moderate. Most residents rely on cars for daily trips. Travel time differences between car and transit are significant (20-25 min vs 50-60 min).","1. Given high car dependency, policies with moderate driving fees ($0.50) are preferred as they reduce congestion while remaining affordable. 2. Higher sales tax (1-1.5%) is acceptable given income levels and will improve transit. 3. Moderate transit fares ($1.25) balance revenue generation with maintaining transit affordability. 4. Prioritized policies that significantly reduce car travel times (to 18-19 min) while keeping costs reasonable. 5. Selected options that improve transit times to 50-52 min for those who depend on it.","[22, 13, 4, 16, 25]",22,13,4,16,25
