community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Willowbrook,"Willowbrook residents have relatively high disposable income with a median household income above Houston's average, as it is predominantly a middle to upper-middle-class suburban area.","The area has significant discretionary spending capacity with numerous retail centers and shopping destinations, including Willowbrook Mall, suggesting residents can absorb moderate transportation cost increases.","The area is heavily car-dependent with limited public transit options, primarily served by park-and-ride services to downtown, and most residents rely on personal vehicles for daily transportation.","1. Given the car-dependent nature and higher income levels, policies with moderate driving fees are acceptable if they improve overall traffic flow
2. Lower sales tax rates are preferred since residents make significant retail purchases in the area
3. Transit fares are less critical since transit usage is limited
4. Prioritize policies that reduce car travel times since most residents drive
5. Balance between driving costs and traffic improvement benefits","[1, 3, 8, 17, 20]",1,3,8,17,20
Greater Greenspoint,"Greater Greenspoint has a relatively low median household income around $35,000, with many residents living below the poverty line and facing significant financial constraints.","Residents have limited discretionary spending capacity, with a high proportion of income going to essential needs like housing and transportation.","The area has moderate transit service but high car dependency, with about 75% of residents commuting by car and facing significant transportation costs relative to their income.","1. Prioritized lower transit fares ($0.75) to help low-income residents who rely on transit. 2. Favored lower sales tax rates (0.5-1.0%) to minimize impact on limited discretionary spending. 3. Considered moderate driving fees ($0.50) to improve transit service without overly burdening car-dependent residents. 4. Balanced travel time improvements with cost impacts, recognizing both transit users and drivers in the community. 5. Selected proposals that offer the best combination of affordability and service improvements for this lower-income area.","[0, 7, 2, 6, 10]",0,7,2,6,10
Carverdale,"Carverdale has a relatively low median household income around $35,000, with many residents working in industrial and service sectors, indicating limited disposable income.","Given the low income levels, residents have minimal discretionary spending capacity and are particularly sensitive to additional taxes and transportation costs.","The neighborhood has limited public transit access with infrequent bus service, high car dependency for work commutes to industrial areas, and relatively long travel times to major employment centers.",1. Prioritized policies with lower sales tax (0.5%) due to limited disposable income. 2. Favored lower transit fares ($0.75) to make public transit more accessible. 3. Considered moderate driving fees ($0.50) as many residents rely on cars for work. 4. Balanced travel time improvements with cost impacts. 5. Selected proposals that minimize overall transportation cost burden while maintaining reasonable service levels.,"[0, 2, 7, 10, 16]",0,2,7,10,16
Fairbanks / Northwest Crossing,"The neighborhood has a median household income around $45,000, which is below Houston's average, indicating residents are price-sensitive to transportation costs.","With modest income levels and higher cost of living concerns, residents have limited discretionary spending capacity and are sensitive to both sales tax increases and transportation fees.","The area has moderate transit access with some bus routes but is largely car-dependent, with most residents relying on personal vehicles for commuting and daily trips.",1) Prioritized policies with lower sales tax (0.5%) to minimize impact on overall purchasing power. 2) Favored moderate driving fees ($0.50) to improve transit without excessive burden on drivers. 3) Selected lower transit fares ($0.75-$1.25) to keep transit affordable. 4) Balanced travel time improvements with cost impacts. 5) Considered that many residents are car-dependent but would benefit from improved transit options.,"[0, 2, 7, 10, 16]",0,2,7,10,16
Greater Inwood,"Greater Inwood has a median household income of around $45,000, which is below Houston's median, indicating residents are price-sensitive to transportation costs.","With modest income levels and higher poverty rates than city average, residents have limited discretionary spending capacity and are sensitive to both sales tax increases and transportation fees.","The area has moderate transit access with some bus routes but is largely car-dependent, with about 80% of residents commuting by car and facing significant travel times to employment centers.",1) Prioritized proposals with lower transit fares ($0.75) to help transit-dependent residents while maintaining reasonable service levels. 2) Favored moderate sales tax (1.0%) over higher rates to balance transit funding with household budget impacts. 3) Selected proposals with moderate driving fees ($0.50) to encourage some transit use without overly burdening car-dependent commuters. 4) Considered travel time improvements for both modes given the area's mixed transit-car usage. 5) Aimed to minimize total cost burden on lower-income residents while maintaining service quality.,"[7, 0, 16, 8, 1]",7,0,16,8,1
Acres Home,"Acres Home has a median household income of approximately $35,000, which is significantly lower than Houston's average, indicating limited disposable income for transportation costs.","With a high poverty rate of around 25% and many households being cost-burdened by housing expenses, residents have very limited discretionary spending capacity.","The area has moderate bus service but limited rail access, with many residents dependent on personal vehicles despite the financial burden, and approximately 20% of households lacking vehicle access.","1) Given low income levels, prioritized proposals with lower transit fares and sales tax burden. 2) Selected options that improve transit times to benefit both transit-dependent and cost-conscious car users. 3) Supported moderate driving fees to fund transit improvements without overly burdening drivers. 4) Balanced need for transit investment with community's limited ability to pay higher taxes. 5) Favored proposals that reduce both transit and driving times to provide flexibility for mixed-mode households.","[6, 0, 7, 15, 2]",6,0,7,15,2
Hidden Valley,"Hidden Valley residents have moderate to low disposable income with a median household income around $45,000, indicating sensitivity to transportation costs and taxes.","The neighborhood has limited discretionary spending capacity, with most income going to essential needs like housing, food, and transportation.","The area has moderate transit access with bus routes but relies heavily on personal vehicles, with about 85% of residents commuting by car.","1. Given low disposable income, prioritized lower transit fares and taxes to preserve household budgets. 2. Moderate driving fees acceptable to improve transit service while not overly burdening car-dependent residents. 3. Balanced travel time improvements against cost increases. 4. Selected policies that provide meaningful transit improvements without excessive tax burden. 5. Considered the high car dependency while encouraging transit use through reasonable incentives.","[7, 0, 16, 10, 2]",7,0,16,10,2
Westbranch,"Westbranch is a middle-income neighborhood with median household income around $45,000, indicating moderate sensitivity to transportation costs and taxes.","Residents have modest discretionary spending capacity, with typical household retail spending around $20,000 annually, making them somewhat sensitive to sales tax changes.","The neighborhood has good road access but limited transit service, with about 70% of residents commuting by car and 20% by transit, suggesting policies should balance both modes.","1) Prioritized proposals with moderate tax rates (1%) to balance revenue needs and household budgets. 2) Favored lower transit fares ($0.75-$1.25) to support transit-dependent residents while maintaining service quality. 3) Supported moderate driving fees ($0.50) to manage congestion without excessive burden on majority car-commuting population. 4) Considered travel time improvements for both modes, with special attention to transit time reductions. 5) Selected proposals that offer best combined benefits in terms of travel time savings and reasonable costs for both transit and car users.","[7, 10, 8, 19, 11]",7,10,8,19,11
Addicks / Park Ten,"Addicks / Park Ten residents have relatively high disposable income with a median household income above $100,000, indicating greater ability to absorb transportation costs.",The area's affluent population has significant discretionary spending power and tends to prioritize convenience and time savings over minor cost differences.,"The area is heavily car-dependent with limited transit options, long commute distances to major employment centers, and most residents rely on personal vehicles for transportation.",1) Prioritized policies that reduce car travel times since most residents are car-dependent. 2) Higher driver fees acceptable given income levels and potential for reduced congestion. 3) Lower transit fares less critical since transit usage is limited. 4) Moderate sales tax preferred to balance revenue needs with tax burden. 5) Selected policies that provide best car travel time improvements while maintaining reasonable total costs.,"[8, 11, 17, 20, 14]",8,11,17,20,14
Spring Branch West,"Spring Branch West has a median household income of around $55,000, placing it in the middle-income range for Houston, with approximately 15% of residents below poverty level.","Residents have moderate discretionary spending capacity but are price-sensitive to additional taxes and fees, with significant portions of income already going to housing and transportation costs.","The area is primarily car-dependent with limited transit options, featuring several major thoroughfares like I-10 and Beltway 8, while bus service is available but with longer travel times.","1) Prioritized policies with lower sales tax (0.5-1.0%) to protect discretionary spending power, 2) Favored moderate driving fees ($0.5) to improve transit without overly burdening car-dependent residents, 3) Selected proposals with lower transit fares ($0.75-$1.25) to make transit more accessible, 4) Balanced travel time improvements for both modes given the mixed-income population, 5) Considered the area's car-dependency while supporting gradual transit improvements.","[7, 0, 10, 2, 3]",7,0,10,2,3
Langwood,"Langwood is a middle-income neighborhood with median household income around $55,000, indicating moderate disposable income levels for transportation expenses.",Residents have moderate discretionary spending capacity but are price-sensitive to additional taxes and fees that could impact their household budgets.,"The neighborhood has good car accessibility with proximity to Highway 290 but limited transit options, with most residents relying on personal vehicles for commuting.","1) Given car-dependent nature, prioritize proposals with lower driving fees and moderate taxes to avoid excessive burden on drivers. 2) Consider moderate transit fares to maintain service quality while keeping costs reasonable for occasional transit users. 3) Balance tax rates around 1% to support transit infrastructure without overly impacting discretionary spending. 4) Select proposals that achieve modest travel time improvements without extreme cost increases. 5) Factor in that most residents will pay driving costs daily but transit fares only occasionally.","[6, 9, 18, 2, 10]",6,9,18,2,10
